species	type	location	rxn	time
1	I	3	Sample_recovery	71.73201882
2	I	0	Sample_recovery	100.00000626
3	I	3	Sample_recovery	95.56044958
4	I	2	Sample_recovery	100.00000444
5	I	3	Sample_recovery	100.00000436
6	I	4	Sample_recovery	85.95245869
7	I	3	Sample_recovery	96.57254514
8	I	3	Sample_recovery	100.00000163
9	I	3	Sample_recovery	100.00000271
10	I	3	Sample_recovery	93.89955412
11	I	3	Sample_recovery	100.00000848
12	I	3	Sample_recovery	95.26575909
13	I	2	Sample_recovery	100.00000997
14	I	2	Sample_recovery	100.00000078
15	I	0	Sample_recovery	95.43045701
16	I	2	Sample_recovery	72.42190438
17	I	0	Sample_recovery	100.00000322
18	I	3	Sample_recovery	100.00000234
19	I	4	Sample_recovery	100.00000947
20	I	1	Sample_recovery	83.79945809
21	I	1	Sample_recovery	56.89223611
22	I	1	Sample_recovery	98.88423236
23	I	2	Sample_recovery	84.39168814
24	I	2	Sample_recovery	98.87538492
25	I	2	Sample_recovery	100.00000046
26	I	3	Sample_recovery	100.00000530
27	I	4	Sample_recovery	98.75625672
28	I	3	Sample_recovery	100.00000770
29	I	1	Sample_recovery	86.85100603
30	I	2	Sample_recovery	92.06547961
31	I	3	Sample_recovery	100.00000030
32	I	3	Sample_recovery	100.00000582
33	I	3	Sample_recovery	95.03020301
34	I	3	Sample_recovery	99.17377670
35	I	2	Sample_recovery	97.11945592
36	I	3	Sample_recovery	100.00000148
37	I	3	Sample_recovery	100.00000391
38	I	1	Sample_recovery	100.00000269
39	I	3	Sample_recovery	94.28814332
40	I	3	Sample_recovery	78.39222938
41	I	3	Sample_recovery	90.10191405
42	I	3	Sample_recovery	70.60311542
43	I	3	Sample_recovery	100.00000090
44	I	0	Sample_recovery	100.00000356
45	I	3	Sample_recovery	100.00000574
46	I	3	Sample_recovery	94.36070595
47	I	3	Sample_recovery	38.56309903
48	I	3	Sample_recovery	100.00000039
49	I	3	Sample_recovery	72.82214392
50	I	1	Sample_recovery	100.00000178
51	I	3	Sample_recovery	100.00000799
52	I	3	Sample_recovery	85.87530249
53	I	3	Sample_recovery	100.00000041
54	I	3	Sample_recovery	100.00000435
55	I	0	Sample_recovery	100.00000613
56	I	3	Sample_recovery	49.39836858
57	I	3	Sample_recovery	93.63651592
58	I	1	Sample_recovery	95.65287014
59	I	1	Sample_recovery	100.00000351
60	I	3	Sample_recovery	100.00000847
61	I	3	Sample_recovery	100.00000996
62	I	3	Sample_recovery	96.38204453
63	I	3	Sample_recovery	100.00000800
64	I	3	Sample_recovery	100.00000186
65	I	3	Sample_recovery	84.25526845
66	I	3	Sample_recovery	100.00000746
67	I	3	Sample_recovery	95.61620591
68	I	3	Sample_recovery	100.00000090
69	I	3	Sample_recovery	100.00000738
70	I	3	Sample_recovery	100.00000016
71	I	3	Sample_recovery	100.00000904
72	I	3	Sample_recovery	90.97317690
73	I	3	Sample_recovery	100.00000865
74	I	3	Sample_recovery	100.00000899
75	I	3	Sample_recovery	87.29297519
76	I	4	Sample_recovery	100.00000858
77	I	3	Sample_recovery	85.50892585
78	I	3	Sample_recovery	93.44958633
