species	type	location	rxn	time
1	I	0	Sample_recovery	100.00000902
2	I	4	Sample_recovery	100.00000846
3	I	4	Sample_recovery	81.23580131
4	I	4	Sample_recovery	99.22398900
5	I	4	Sample_recovery	100.00000643
6	I	4	Sample_recovery	95.14271640
7	I	4	Sample_recovery	100.00000042
8	I	4	Sample_recovery	100.00000618
9	I	4	Sample_recovery	98.77643054
10	I	4	Sample_recovery	70.54709170
11	I	1	Sample_recovery	100.00000999
12	I	4	Sample_recovery	91.42772671
13	I	0	Sample_recovery	100.00000600
14	I	1	Sample_recovery	99.72810902
15	I	4	Sample_recovery	63.91161949
16	I	4	Sample_recovery	100.00000199
17	I	4	Sample_recovery	66.65159274
18	I	4	Sample_recovery	100.00000316
19	I	4	Sample_recovery	100.00000697
20	I	0	Sample_recovery	97.90848016
21	I	4	Sample_recovery	100.00000416
22	I	4	Sample_recovery	100.00000930
23	I	4	Sample_recovery	87.46940738
24	I	4	Sample_recovery	95.58658489
25	I	1	Sample_recovery	93.51347296
26	I	4	Sample_recovery	100.00000733
27	I	4	Sample_recovery	80.83876756
28	I	3	Sample_recovery	91.71524488
29	I	2	Sample_recovery	100.00000349
30	I	4	Sample_recovery	100.00000985
31	I	4	Sample_recovery	95.03378432
32	I	1	Sample_recovery	92.43199919
33	I	4	Sample_recovery	100.00000532
34	I	4	Sample_recovery	100.00000608
35	I	1	Sample_recovery	100.00000866
36	I	4	Sample_recovery	96.58476211
37	I	4	Sample_recovery	100.00000284
38	I	4	Sample_recovery	81.93799459
39	I	4	Sample_recovery	100.00000714
40	I	2	Sample_recovery	100.00000344
41	I	4	Sample_recovery	100.00000326
42	I	4	Sample_recovery	100.00000343
43	I	1	Sample_recovery	97.10668205
44	I	4	Sample_recovery	95.49059845
45	I	4	Sample_recovery	93.63402837
46	I	4	Sample_recovery	98.33613471
47	I	4	Sample_recovery	97.32252447
48	I	4	Sample_recovery	97.15374576
49	I	4	Sample_recovery	99.00933032
50	I	4	Sample_recovery	89.53011352
51	I	4	Sample_recovery	85.67697338
52	I	4	Sample_recovery	100.00000562
53	I	4	Sample_recovery	100.00000903
54	I	4	Sample_recovery	100.00000727
55	I	4	Sample_recovery	100.00000442
56	I	4	Sample_recovery	100.00000235
57	I	4	Sample_recovery	30.31371477
58	I	2	Sample_recovery	82.82699288
59	I	2	Sample_recovery	97.54990199
60	I	0	Sample_recovery	59.49155189
61	I	2	Sample_recovery	100.00000499
62	I	1	Sample_recovery	100.00000747
63	I	4	Sample_recovery	92.48437085
64	I	4	Sample_recovery	100.00000260
65	I	4	Sample_recovery	100.00000659
66	I	4	Sample_recovery	100.00000922
67	I	4	Sample_recovery	91.33689282
68	I	4	Sample_recovery	100.00000633
69	I	4	Sample_recovery	95.46921848
70	I	4	Sample_recovery	100.00000202
71	I	4	Sample_recovery	85.51013613
72	I	4	Sample_recovery	100.00000464
73	I	3	Sample_recovery	94.19028518
74	I	4	Sample_recovery	100.00000601
75	I	4	Sample_recovery	100.00000397
76	I	4	Sample_recovery	100.00000175
77	I	0	Sample_recovery	100.00000585
78	I	4	Sample_recovery	100.00000783
79	I	4	Sample_recovery	100.00000241
80	I	4	Sample_recovery	85.42843749
81	I	4	Sample_recovery	99.29772823
82	I	4	Sample_recovery	66.68219380
83	I	0	Sample_recovery	100.00000409
84	I	2	Sample_recovery	96.66614443
85	I	2	Sample_recovery	100.00000523
86	I	3	Sample_recovery	100.00000853
87	I	1	Sample_recovery	100.00000213
88	I	4	Sample_recovery	100.00000381
89	I	4	Sample_recovery	92.73068851
90	I	4	Sample_recovery	98.56132563
91	I	4	Sample_recovery	94.70746032
92	I	4	Sample_recovery	100.00000927
93	I	4	Sample_recovery	89.87839892
94	I	4	Sample_recovery	100.00000372
95	I	4	Sample_recovery	100.00000415
96	I	4	Sample_recovery	100.00000172
97	I	4	Sample_recovery	100.00000884
98	I	4	Sample_recovery	91.79882324
99	I	1	Sample_recovery	59.61286726
100	I	4	Sample_recovery	92.56058981
101	I	4	Sample_recovery	96.99941788
102	I	4	Sample_recovery	100.00000424
103	I	4	Sample_recovery	100.00000388
104	I	4	Sample_recovery	100.00000778
105	I	4	Sample_recovery	100.00000799
106	I	4	Sample_recovery	75.09109146
107	I	4	Sample_recovery	100.00000306
108	I	4	Sample_recovery	100.00000401
109	I	4	Sample_recovery	100.00000448
110	I	4	Sample_recovery	100.00000472
111	I	4	Sample_recovery	85.23484458
112	I	4	Sample_recovery	91.25824153
113	I	1	Sample_recovery	85.91835402
114	I	2	Sample_recovery	97.56326128
115	I	4	Sample_recovery	100.00000156
116	I	4	Sample_recovery	98.27644972
117	I	4	Sample_recovery	83.80081203
118	I	4	Sample_recovery	95.91334042
119	I	4	Sample_recovery	100.00000684
120	I	4	Sample_recovery	100.00000894
121	I	0	Sample_recovery	100.00000966
122	I	0	Sample_recovery	100.00000279
