species	type	location	rxn	time
1	I	1	Sample_recovery	98.50415847
2	I	1	Sample_recovery	91.23074922
3	I	1	Sample_recovery	92.16929500
4	I	1	Sample_recovery	96.84795302
5	I	1	Sample_recovery	99.55727751
6	I	1	Sample_recovery	99.93476949
7	I	1	Sample_recovery	100.00000087
8	I	4	Sample_recovery	91.79910441
9	I	1	Sample_recovery	90.38964014
10	I	4	Sample_recovery	98.84108501
11	I	1	Sample_recovery	100.00000727
12	I	1	Sample_recovery	85.73793248
13	I	1	Sample_recovery	91.45312256
14	I	1	Sample_recovery	100.00000708
15	I	1	Sample_recovery	99.11453766
16	I	2	Sample_recovery	83.43082885
17	I	2	Sample_recovery	96.71866103
18	I	1	Sample_recovery	100.00000137
19	I	4	Sample_recovery	100.00000694
20	I	1	Sample_recovery	100.00000473
21	I	1	Sample_recovery	98.49216147
22	I	1	Sample_recovery	100.00000066
23	I	1	Sample_recovery	96.53478330
24	I	4	Sample_recovery	100.00000759
25	I	1	Sample_recovery	100.00000746
26	I	1	Sample_recovery	90.12277989
27	I	1	Sample_recovery	100.00000613
28	I	1	Sample_recovery	99.92528656
29	I	1	Sample_recovery	100.00000061
30	I	1	Sample_recovery	99.01743945
31	I	1	Sample_recovery	96.05050001
32	I	0	Sample_recovery	81.55712186
33	I	1	Sample_recovery	100.00000689
34	I	4	Sample_recovery	100.00000663
35	I	4	Sample_recovery	94.19058385
36	I	4	Sample_recovery	100.00000982
37	I	4	Sample_recovery	92.88890943
38	I	4	Sample_recovery	98.67689833
39	I	4	Sample_recovery	100.00000071
40	I	4	Sample_recovery	100.00000369
41	I	4	Sample_recovery	100.00000994
42	I	4	Sample_recovery	81.94908532
43	I	4	Sample_recovery	85.55176688
44	I	4	Sample_recovery	79.46751359
45	I	4	Sample_recovery	100.00000867
46	I	4	Sample_recovery	100.00000929
47	I	4	Sample_recovery	86.26034001
48	I	4	Sample_recovery	84.31903911
49	I	4	Sample_recovery	100.00000533
50	I	1	Sample_recovery	81.58032223
51	I	1	Sample_recovery	73.64375711
52	I	1	Sample_recovery	89.91126210
53	I	1	Sample_recovery	100.00000667
54	I	1	Sample_recovery	100.00000169
55	I	1	Sample_recovery	99.73685248
56	I	1	Sample_recovery	100.00000662
57	I	1	Sample_recovery	75.13028554
58	I	1	Sample_recovery	98.69671526
59	I	1	Sample_recovery	92.69899906
60	I	1	Sample_recovery	100.00000620
61	I	1	Sample_recovery	100.00000200
62	I	1	Sample_recovery	100.00000401
63	I	1	Sample_recovery	97.17290393
64	I	1	Sample_recovery	100.00000796
65	I	1	Sample_recovery	100.00000089
66	I	1	Sample_recovery	98.28069875
67	I	1	Sample_recovery	100.00000553
68	I	1	Sample_recovery	100.00000506
69	I	1	Sample_recovery	94.23671769
70	I	1	Sample_recovery	100.00000874
71	I	1	Sample_recovery	100.00000286
72	I	1	Sample_recovery	97.45352820
73	I	4	Sample_recovery	100.00000396
74	I	2	Sample_recovery	100.00000617
75	I	1	Sample_recovery	93.06820530
76	I	1	Sample_recovery	100.00000261
77	I	1	Sample_recovery	100.00000526
78	I	1	Sample_recovery	97.10235190
79	I	1	Sample_recovery	97.52560977
80	I	1	Sample_recovery	100.00000445
81	I	4	Sample_recovery	98.69629462
82	I	1	Sample_recovery	88.08944626
83	I	1	Sample_recovery	99.81919971
84	I	1	Sample_recovery	100.00000276
85	I	1	Sample_recovery	100.00000722
86	I	1	Sample_recovery	100.00000569
87	I	1	Sample_recovery	100.00000047
88	I	1	Sample_recovery	96.24889685
89	I	1	Sample_recovery	94.08517612
90	I	1	Sample_recovery	100.00000206
91	I	1	Sample_recovery	94.00492579
92	I	1	Sample_recovery	100.00000652
93	I	4	Sample_recovery	91.54923889
94	I	1	Sample_recovery	99.06660627
95	I	1	Sample_recovery	94.90507407
