species	type	location	rxn	time
1	I	1	Sample_recovery	60.57844447
2	I	1	Sample_recovery	84.72403726
3	I	3	Sample_recovery	97.95574947
4	I	2	Sample_recovery	49.77200281
5	I	1	Sample_recovery	66.18223596
6	I	1	Sample_recovery	62.49406164
7	I	1	Sample_recovery	89.87793767
8	I	1	Sample_recovery	81.40414662
9	I	1	Sample_recovery	100.00000216
10	I	1	Sample_recovery	95.34656339
11	I	1	Sample_recovery	89.24969931
12	I	1	Sample_recovery	85.36806405
13	I	1	Sample_recovery	92.23171389
14	I	3	Sample_recovery	100.00000653
15	I	3	Sample_recovery	88.17037617
16	I	1	Sample_recovery	78.93506531
17	I	1	Sample_recovery	91.43930927
18	I	1	Sample_recovery	99.85195556
19	I	2	Sample_recovery	100.00000434
20	I	4	Sample_recovery	98.32163891
21	I	4	Sample_recovery	68.65177240
22	I	1	Sample_recovery	77.91652330
23	I	1	Sample_recovery	83.64251566
24	I	1	Sample_recovery	100.00000826
25	I	1	Sample_recovery	64.30435987
26	I	1	Sample_recovery	90.00840307
27	I	2	Sample_recovery	100.00000278
28	I	1	Sample_recovery	100.00000885
29	I	1	Sample_recovery	85.71790311
30	I	1	Sample_recovery	93.68707191
31	I	1	Sample_recovery	82.00037558
32	I	2	Sample_recovery	89.46088041
33	I	1	Sample_recovery	85.26762198
34	I	1	Sample_recovery	86.24558996
35	I	1	Sample_recovery	68.78853834
36	I	1	Sample_recovery	93.13346320
37	I	3	Sample_recovery	94.58061407
38	I	3	Sample_recovery	96.08444698
39	I	2	Sample_recovery	100.00000641
40	I	1	Sample_recovery	71.34877138
41	I	1	Sample_recovery	100.00000041
42	I	1	Sample_recovery	45.80025900
43	I	2	Sample_recovery	85.08465597
44	I	2	Sample_recovery	73.98517229
45	I	1	Sample_recovery	64.44225156
46	I	1	Sample_recovery	88.33652241
47	I	4	Sample_recovery	96.97330621
48	I	4	Sample_recovery	91.36742807
49	I	2	Sample_recovery	60.80967975
50	I	2	Sample_recovery	90.23094865
51	I	2	Sample_recovery	83.44452833
52	I	2	Sample_recovery	82.52053131
53	I	2	Sample_recovery	87.34161057
54	I	2	Sample_recovery	98.33551002
55	I	2	Sample_recovery	87.59800852
56	I	2	Sample_recovery	50.20809252
57	I	2	Sample_recovery	90.24598447
58	I	2	Sample_recovery	98.37216531
59	I	2	Sample_recovery	81.78611825
60	I	2	Sample_recovery	84.55190798
61	I	2	Sample_recovery	96.42739521
62	I	2	Sample_recovery	99.07008313
63	I	2	Sample_recovery	75.98015347
64	I	2	Sample_recovery	93.08954677
65	I	4	Sample_recovery	92.00048328
66	I	3	Sample_recovery	93.55720097
67	I	3	Sample_recovery	94.48297817
68	I	3	Sample_recovery	90.31828904
69	I	2	Sample_recovery	76.49669123
70	I	3	Sample_recovery	93.12114139
71	I	2	Sample_recovery	86.82974419
72	I	2	Sample_recovery	97.80526154
73	I	2	Sample_recovery	100.00000006
74	I	1	Sample_recovery	78.74880824
75	I	1	Sample_recovery	100.00000704
76	I	1	Sample_recovery	98.92521403
77	I	0	Sample_recovery	88.62056278
78	I	0	Sample_recovery	89.47679871
79	I	0	Sample_recovery	91.76405674
80	I	0	Sample_recovery	92.45170451
81	I	2	Sample_recovery	95.91533744
82	I	3	Sample_recovery	79.64451882
83	I	4	Sample_recovery	100.00000359
84	I	2	Sample_recovery	89.11707084
85	I	2	Sample_recovery	100.00000359
86	I	2	Sample_recovery	95.45957951
87	I	2	Sample_recovery	76.42373596
88	I	1	Sample_recovery	98.02905762
89	I	1	Sample_recovery	92.99051714
90	I	2	Sample_recovery	100.00000391
91	I	1	Sample_recovery	85.95525123
