species	type	location	rxn	time
1	I	1	Sample_recovery	93.81893377
2	I	2	Sample_recovery	79.52964408
3	I	2	Sample_recovery	71.14610471
4	I	3	Sample_recovery	71.33797483
5	I	2	Sample_recovery	45.32270487
6	I	2	Sample_recovery	28.48887144
7	I	2	Sample_recovery	89.52969614
8	I	2	Sample_recovery	86.01127813
9	I	3	Sample_recovery	77.54695690
10	I	2	Sample_recovery	71.39421626
11	I	2	Sample_recovery	91.08925353
12	I	2	Sample_recovery	92.27181014
13	I	2	Sample_recovery	76.62259562
14	I	2	Sample_recovery	100.00000227
15	I	2	Sample_recovery	96.53899024
16	I	2	Sample_recovery	98.90991190
17	I	2	Sample_recovery	89.65048479
18	I	2	Sample_recovery	93.15784214
19	I	2	Sample_recovery	97.66337771
20	I	2	Sample_recovery	91.76850209
21	I	2	Sample_recovery	100.00000568
22	I	2	Sample_recovery	33.10221492
23	I	2	Sample_recovery	67.57277573
24	I	4	Sample_recovery	79.33548703
25	I	4	Sample_recovery	80.55855543
26	I	2	Sample_recovery	52.48933035
27	I	2	Sample_recovery	92.60347692
28	I	2	Sample_recovery	82.09381959
29	I	2	Sample_recovery	87.14057974
30	I	2	Sample_recovery	80.90225590
31	I	2	Sample_recovery	97.30446760
32	I	2	Sample_recovery	99.19210024
33	I	2	Sample_recovery	22.29907388
34	I	3	Sample_recovery	98.42640995
35	I	0	Sample_recovery	75.29223545
36	I	2	Sample_recovery	67.34621998
37	I	2	Sample_recovery	27.52285478
38	I	0	Sample_recovery	96.57252105
39	I	2	Sample_recovery	94.82552145
40	I	2	Sample_recovery	97.49215380
41	I	2	Sample_recovery	100.00000610
42	I	2	Sample_recovery	45.55135140
