sim_number	index_location_0,index_location_1,index_location_2,index_location_3,index_location_4	R_0_0,R_0_1,R_0_2,R_0_3,R_0_4	S_0_0,S_0_1,S_0_2,S_0_3,S_0_4	beta_0,beta_1,beta_2,beta_3,beta_4 	mu	sampling_rate_0,sampling_rate_1,sampling_rate_2,sampling_rate_3,sampling_rate_4	max_tips	mean_migration_rate	 tree_length	num_tips	mean_branch_length	loc0_imports_per_capita_from_0,loc0_imports_per_capita_from_1,loc0_imports_per_capita_from_2,loc0_imports_per_capita_from_3,loc0_imports_per_capita_from_4:loc1_imports_per_capita_from_0,loc1_imports_per_capita_from_1,loc1_imports_per_capita_from_2,loc1_imports_per_capita_from_3,loc1_imports_per_capita_from_4:loc2_imports_per_capita_from_0,loc2_imports_per_capita_from_1,loc2_imports_per_capita_from_2,loc2_imports_per_capita_from_3,loc2_imports_per_capita_from_4:loc3_imports_per_capita_from_0,loc3_imports_per_capita_from_1,loc3_imports_per_capita_from_2,loc3_imports_per_capita_from_3,loc3_imports_per_capita_from_4:loc4_imports_per_capita_from_0,loc4_imports_per_capita_from_1,loc4_imports_per_capita_from_2,loc4_imports_per_capita_from_3,loc4_imports_per_capita_from_4	 infections_per_capita_0,infections_per_capita_1,infections_per_capita_2,infections_per_capita_3,infections_per_capita_4	time_of_first_import_0,time_of_first_import_1,time_of_first_import_2,time_of_first_import_3,time_of_first_import_4	proportion_tips_sampled 	time_of_mass_sample	runtime	num_I_at_mass_sample_time	num_extant_sampled
sim26	0,0,0,1,0	2.83934,2.83934,2.83934,2.83934,2.83934	1000000,1000000,1000000,1000000,1000000	0.000000118372,0.000000118372,0.000000118372,0.000000118372,0.000000118372	.04090	.00079,.00079,.00079,.00079,.00079	499	.00440	100.00000949	81	20.56879531	0,0,4e-05,8e-05,8e-05:2e-05,0,3e-05,2e-05,2e-05:3e-05,0,0,0.00012,3e-05:6e-05,1e-05,1e-04,0,3e-05:0.00011,1e-05,4e-05,6e-05,0	0.001229,0.000425,0.001563,0.001543,0.000849	16.4905918,43.08315141,19.51729792,0,29.66510315	1	100	100	3562	34
sim29	1,0,0,0,0	4.47506,4.47506,4.47506,4.47506,4.47506	1000000,1000000,1000000,1000000,1000000	0.000000102747,0.000000102747,0.000000102747,0.000000102747,0.000000102747	.02049	.00247,.00247,.00247,.00247,.00247	499	.00058	100.00000981	50	14.69438501	0,0,0,0,0:0,0,0,0,0:1e-05,0,0,0,0:0,0,0,0,0:2e-05,0,0,0,0	0.000938,7e-06,2.4e-05,9e-06,0.000233	0,80.50102356,48.51735123,86.49426737,48.74854762	1	100	100	928	13
sim31	0,1,0,0,0	3.52106,3.52106,3.52106,3.52106,3.52106	1000000,1000000,1000000,1000000,1000000	0.000000103413,0.000000103413,0.000000103413,0.000000103413,0.000000103413	.02487	.00450,.00450,.00450,.00450,.00450	499	.00291	100.00000970	86	15.08862277	0,1e-05,0,0,0:0,0,1e-05,2e-05,2e-05:0,2e-05,0,2e-05,1e-05:0,3e-05,2e-05,0,1e-05:0,4e-05,1e-05,1e-05,0	0.000226,0.000673,0.000296,0.000287,0.000361	50.45856955,0,47.50503326,43.02002973,5.74554313	1	100	100	1348	10
sim33	0,0,0,1,0	3.27260,3.27260,3.27260,3.27260,3.27260	1000000,1000000,1000000,1000000,1000000	0.000000151881,0.000000151881,0.000000151881,0.000000151881,0.000000151881	.04589	.00052,.00052,.00052,.00052,.00052	499	.00333	100.00000993	325	17.62918259	0,0.00026,7e-05,0.00038,3e-05:0.00015,0,6e-05,0.00058,3e-05:8e-05,0.00011,0,0.00016,6e-05:0.00014,0.00031,5e-05,0,2e-05:6e-05,8e-05,8e-05,0.00014,0	0.003917,0.006978,0.003761,0.012391,0.003047	37.70811912,19.13833661,40.35953157,0,26.32772017	1	100	100	20664	214
sim39	0,0,1,0,0	3.64190,3.64190,3.64190,3.64190,3.64190	1000000,1000000,1000000,1000000,1000000	0.000000140140,0.000000140140,0.000000140140,0.000000140140,0.000000140140	.03471	.00377,.00377,.00377,.00377,.00377	499	.00221	100.00000991	499	13.78979040	0,3e-05,4e-05,0.00024,1e-05:2e-05,0,0.00029,1e-04,2e-05:2e-05,2e-04,0,0.00011,2e-05:6e-05,2e-05,5e-05,0,2e-05:2e-05,3e-05,4e-05,0.00014,0	0.003077,0.00299,0.004453,0.013041,0.001692	40.32202324,0.89105993,0,7.37380221,24.45401335	0.576879	100	100	18296	108
sim40	0,0,1,0,0	5.16980,5.16980,5.16980,5.16980,5.16980	1000000,1000000,1000000,1000000,1000000	0.000000092022,0.000000092022,0.000000092022,0.000000092022,0.000000092022	.01755	.00025,.00025,.00025,.00025,.00025	499	.00024	100.00000998	37	27.92090514	0,0,0,0,0:0,0,1e-05,0,0:0,0,0,0,0:0,0,1e-05,0,0:0,0,1e-05,0,0	1.1e-05,5.3e-05,0.00415,2.6e-05,2e-06	57.07139175,59.83077377,0,71.0409279,79.6483834	1	100	100	3424	26
sim41	0,1,0,0,0	2.00768,2.00768,2.00768,2.00768,2.00768	1000000,1000000,1000000,1000000,1000000	0.000000097392,0.000000097392,0.000000097392,0.000000097392,0.000000097392	.04530	.00321,.00321,.00321,.00321,.00321	499	.00323	100.00000851	27	19.05652331	0,1e-05,1e-05,0,0:0,0,2e-05,0,0:0,3e-05,0,0,0:0,0,0,0,0:0,1e-05,0,0,0	1.2e-05,0.00037,0.000258,6.6e-05,6.6e-05	34.43108478,0,22.5448887,39.00122937,51.2435323	1	100	100	415	3
sim44	1,0,0,0,0	6.31406,6.31406,6.31406,6.31406,6.31406	1000000,1000000,1000000,1000000,1000000	0.000000091427,0.000000091427,0.000000091427,0.000000091427,0.000000091427	.01170	.00278,.00278,.00278,.00278,.00278	499	.00166	100.00000989	118	16.51507231	0,0,0,9e-05,1e-05:1e-05,0,0,1e-05,0:1e-05,0,0,0,0:0.00013,0,0,0,0:3e-05,0,0,2e-05,0	0.001468,4.4e-05,2e-05,0.001088,0.000368	0,65.4793801,70.70492737,25.79043235,27.88621473	1	100	100	2521	26
sim49	0,0,0,1,0	4.55306,4.55306,4.55306,4.55306,4.55306	1000000,1000000,1000000,1000000,1000000	0.000000141964,0.000000141964,0.000000141964,0.000000141964,0.000000141964	.03070	.00048,.00048,.00048,.00048,.00048	499	.00308	100.00000998	242	16.18309085	0,0.00068,1e-05,4e-05,8e-05:0.00036,0,1e-05,3e-05,6e-05:6e-05,0.00011,0,2e-05,3e-05:9e-05,0.00015,1e-05,0,6e-05:0.00011,0.00017,2e-05,6e-05,0	0.005108,0.009582,0.001347,0.002537,0.002765	49.24001412,1.97269078,59.15274919,0,49.65898032	1	100	100	16595	156
sim52	0,1,0,0,0	4.50494,4.50494,4.50494,4.50494,4.50494	1000000,1000000,1000000,1000000,1000000	0.000000102667,0.000000102667,0.000000102667,0.000000102667,0.000000102667	.02182	.00097,.00097,.00097,.00097,.00097	499	.00369	100.00000991	39	20.35427998	0,0,0,1e-05,1e-05:0,0,0,0,0.00014:0,1e-05,0,0,4e-05:1e-05,1e-05,0,0,1e-05:0,6e-05,1e-05,0,0	0.00016,0.000526,0.000187,0.000195,0.001247	53.17096689,0,40.20770367,44.74105155,2.39361449	1	100	100	1770	18
sim53	0,0,0,1,0	7.65644,7.65644,7.65644,7.65644,7.65644	1000000,1000000,1000000,1000000,1000000	0.000000116760,0.000000116760,0.000000116760,0.000000116760,0.000000116760	.01172	.00353,.00353,.00353,.00353,.00353	499	.00258	100.00000993	499	17.59931198	0,7e-05,0.00102,1e-04,0.00016:0.00011,0,0.00021,6e-05,6e-05:7e-04,7e-05,0,0.00012,0.00011:0.00018,8e-05,0.00038,0,7e-05:0.00027,6e-05,0.00034,7e-05,0	0.009402,0.005231,0.015567,0.005218,0.005668	18.7130487,35.59686048,3.86218528,0,35.73336783	0.305386	100	100	35601	106
sim54	0,0,0,1,0	3.22646,3.22646,3.22646,3.22646,3.22646	1000000,1000000,1000000,1000000,1000000	0.000000101084,0.000000101084,0.000000101084,0.000000101084,0.000000101084	.03064	.00069,.00069,.00069,.00069,.00069	499	.00333	100.00000997	78	21.96752496	0,1e-05,6e-05,5e-05,0:0,0,1e-05,8e-05,0:6e-05,0,0,5e-05,0:0,1e-05,0,0,0:0,2e-05,0,7e-05,0	0.000317,0.000664,0.000251,0.003485,0.000191	38.37031026,30.65672434,42.85408354,0,42.32050113	1	100	100	3401	41
sim56	0,1,0,0,0	4.41266,4.41266,4.41266,4.41266,4.41266	1000000,1000000,1000000,1000000,1000000	0.000000078015,0.000000078015,0.000000078015,0.000000078015,0.000000078015	.01607	.00161,.00161,.00161,.00161,.00161	499	.00384	100.00000712	24	20.64744702	0,1e-05,0,1e-05,0:0,0,0,0,1e-05:0,2e-05,0,0,0:2e-05,1e-05,0,0,0:0,4e-05,0,0,0	9.9e-05,0.000497,1.8e-05,4.4e-05,0.000127	54.2452891,0,48.54116552,24.74432339,43.02999763	1	100	100	604	5
sim60	0,0,0,1,0	6.80426,6.80426,6.80426,6.80426,6.80426	1000000,1000000,1000000,1000000,1000000	0.000000151054,0.000000151054,0.000000151054,0.000000151054,0.000000151054	.01754	.00466,.00466,.00466,.00466,.00466	499	.00282	100.00000996	499	14.35732488	0,0.00078,0.00013,0.00017,2e-05:0.00105,0,1e-04,0.00016,2e-05:0.00027,0.00016,0,0.00027,1e-05:0.00019,0.00014,0.00014,0,2e-05:0.00014,1e-04,5e-05,0.00015,0	0.014464,0.011248,0.006577,0.014231,0.001871	16.7252816,38.58254924,29.55541019,0,64.1293897	0.267704	100	100	41308	107
sim67	1,0,0,0,0	3.69998,3.69998,3.69998,3.69998,3.69998	1000000,1000000,1000000,1000000,1000000	0.000000107817,0.000000107817,0.000000107817,0.000000107817,0.000000107817	.02838	.00076,.00076,.00076,.00076,.00076	499	.00454	100.00000976	30	20.47132593	0,1e-05,0,0,3e-05:1e-05,0,1e-05,0,2e-05:0,0,0,1e-05,4e-05:0,0,2e-05,0,4e-05:1e-05,0,0,0,0	0.000119,0.000107,0.000116,0.000134,0.000985	0,46.61890086,51.00633418,68.72104873,12.07617217	1	100	100	1060	17
sim71	0,0,0,1,0	5.49266,5.49266,5.49266,5.49266,5.49266	1000000,1000000,1000000,1000000,1000000	0.000000153904,0.000000153904,0.000000153904,0.000000153904,0.000000153904	.02770	.00032,.00032,.00032,.00032,.00032	499	.00162	100.00000991	234	16.13775370	0,2e-05,2e-05,0.00029,3e-05:1e-05,0,1e-05,7e-05,5e-05:5e-05,2e-05,0,0.00016,2e-05:7e-05,2e-05,2e-05,0,1e-05:2e-05,5e-05,1e-05,3e-05,0	0.002595,0.003324,0.001596,0.010018,0.004056	46.46843761,30.11438506,48.46905139,0,45.05888104	1	100	100	17776	180
sim74	0,0,0,1,0	7.17014,7.17014,7.17014,7.17014,7.17014	1000000,1000000,1000000,1000000,1000000	0.000000140247,0.000000140247,0.000000140247,0.000000140247,0.000000140247	.01558	.00398,.00398,.00398,.00398,.00398	499	.00037	100.00000996	499	12.71765427	0,0,0,1e-05,5e-05:0,0,0,2e-05,1e-05:0,0,0,2e-05,1e-05:0,0,0,0,2e-05:0,0,0,3e-05,0	0.000686,8.9e-05,8.5e-05,0.012052,0.009589	58.35661756,72.14002934,66.5941335,0,24.25099448	0.593341	100	100	19381	128
sim75	0,0,0,0,1	2.10176,2.10176,2.10176,2.10176,2.10176	1000000,1000000,1000000,1000000,1000000	0.000000107147,0.000000107147,0.000000107147,0.000000107147,0.000000107147	.04765	.00333,.00333,.00333,.00333,.00333	499	.00095	100.00000851	25	18.73572855	0,0,0,0,1e-05:0,0,0,0,0:0,0,0,0,0:0,0,0,0,0:0,0,0,0,0	6.4e-05,2e-06,0.00011,1.6e-05,0.000369	53.04935061,21.05517259,31.88413243,75.0493673,0	1	100	100	278	5
sim77	0,0,1,0,0	6.87860,6.87860,6.87860,6.87860,6.87860	1000000,1000000,1000000,1000000,1000000	0.000000083781,0.000000083781,0.000000083781,0.000000083781,0.000000083781	.01160	.00058,.00058,.00058,.00058,.00058	499	.00129	100.00000994	134	24.52396049	0,1e-05,5e-05,1e-05,1e-05:2e-05,0,5e-05,1e-05,1e-05:0,0,0,0,0:0,0,6e-05,0,0:1e-05,1e-05,1e-04,0,0	0.000401,0.000195,0.007025,0.000548,0.000333	29.61478194,30.60862862,0,30.19116354,55.8849789	1	100	100	7223	83
sim85	0,0,1,0,0	5.18774,5.18774,5.18774,5.18774,5.18774	1000000,1000000,1000000,1000000,1000000	0.000000113144,0.000000113144,0.000000113144,0.000000113144,0.000000113144	.02162	.00019,.00019,.00019,.00019,.00019	499	.00383	100.00000981	76	22.48406149	0,3e-05,3e-05,6e-05,3e-05:1e-05,0,6e-05,0.00029,2e-05:1e-05,6e-05,0,7e-05,4e-05:1e-05,0.00019,5e-05,0,2e-05:1e-05,4e-05,4e-05,3e-05,0	0.000484,0.00159,0.001547,0.002501,0.001244	44.38897478,22.26666775,0,21.10663765,18.01786533	1	100	100	5976	61
sim91	0,0,0,1,0	7.90454,7.90454,7.90454,7.90454,7.90454	1000000,1000000,1000000,1000000,1000000	0.000000101731,0.000000101731,0.000000101731,0.000000101731,0.000000101731	.01136	.00151,.00151,.00151,.00151,.00151	499	.00285	100.00000997	149	19.43073329	0,5e-05,3e-05,5e-05,1e-05:9e-05,0,3e-05,4e-05,2e-05:7e-05,1e-05,0,0.00012,2e-05:3e-05,3e-05,5e-05,0,3e-05:1e-05,1e-05,1e-05,3e-05,0	0.001525,0.00095,0.000976,0.001801,0.001459	30.38090637,31.84398502,21.87903979,0,28.78879512	1	100	100	5831	49
sim93	0,1,0,0,0	5.91158,5.91158,5.91158,5.91158,5.91158	1000000,1000000,1000000,1000000,1000000	0.000000140340,0.000000140340,0.000000140340,0.000000140340,0.000000140340	.02011	.00363,.00363,.00363,.00363,.00363	499	.00436	100.00000998	499	12.37544536	0,8e-05,0.00018,2e-05,0.00016:8e-05,0,0.00046,6e-05,4e-05:8e-05,3e-04,0,4e-05,5e-05:5e-05,0.00011,0.00019,0,4e-05:0.00026,1e-04,0.00017,3e-05,0	0.004182,0.004272,0.006384,0.001549,0.002295	36.13755544,0,0.76420236,55.79524687,51.61623225	0.804839	100	100	15551	118
sim103	0,0,0,1,0	5.61332,5.61332,5.61332,5.61332,5.61332	1000000,1000000,1000000,1000000,1000000	0.000000077127,0.000000077127,0.000000077127,0.000000077127,0.000000077127	.01312	.00062,.00062,.00062,.00062,.00062	499	.00078	100.00000952	33	30.63811179	0,0,0,1e-05,0:0,0,0,1e-05,0:0,0,0,1e-05,0:0,0,0,0,1e-05:0,0,0,4e-05,0	9e-06,4.8e-05,3.2e-05,0.001676,0.000535	69.22414542,73.14971007,57.01513613,0,20.60940648	1	100	100	1889	22
sim107	0,1,0,0,0	4.75796,4.75796,4.75796,4.75796,4.75796	1000000,1000000,1000000,1000000,1000000	0.000000102105,0.000000102105,0.000000102105,0.000000102105,0.000000102105	.01984	.00162,.00162,.00162,.00162,.00162	499	.00040	100.00000972	145	18.28103798	0,3e-05,0,0,0:0,0,0,0,0:0,1e-05,0,0,0:0,2e-05,0,0,0:0,1e-05,0,0,0	7.9e-05,0.005667,3e-06,0.000188,7.9e-05	47.40151354,0,77.00514537,61.76639354,66.37299261	1	100	100	4714	46
sim118	0,0,0,1,0	6.05918,6.05918,6.05918,6.05918,6.05918	1000000,1000000,1000000,1000000,1000000	0.000000098037,0.000000098037,0.000000098037,0.000000098037,0.000000098037	.01146	.00472,.00472,.00472,.00472,.00472	499	.00174	100.00000900	76	14.39651165	0,0,0,2e-05,0:0,0,0,1e-05,0:0,0,0,1e-05,0:0,0,0,0,0:0,0,0,1e-05,0	1.7e-05,5e-06,3.3e-05,0.001368,2.2e-05	79.39777104,79.68711243,59.00402788,0,87.15993456	1	100	100	1216	10
sim127	0,0,0,1,0	4.02134,4.02134,4.02134,4.02134,4.02134	1000000,1000000,1000000,1000000,1000000	0.000000069971,0.000000069971,0.000000069971,0.000000069971,0.000000069971	.01378	.00362,.00362,.00362,.00362,.00362	499	.00403	100.00000964	100	18.21105909	0,1e-05,0,3e-05,0:2e-05,0,0,2e-05,0:0,0,0,3e-05,0:0,0,0,0,0:0,0,1e-05,3e-05,0	6.1e-05,3.3e-05,0.000129,0.001214,7.9e-05	45.77552861,36.36054849,47.20124141,0,37.48293747	1	100	100	1117	18
sim128	0,0,0,0,1	5.46464,5.46464,5.46464,5.46464,5.46464	1000000,1000000,1000000,1000000,1000000	0.000000136561,0.000000136561,0.000000136561,0.000000136561,0.000000136561	.02282	.00217,.00217,.00217,.00217,.00217	499	.00378	100.00000996	499	16.85674926	0,0.00022,8e-05,0.00035,0.00117:3e-04,0,9e-05,0.00066,0.00028:0.00018,0.00022,0,3e-04,0.00021:0.00041,0.00057,0.00016,0,0.00034:0.00085,0.00019,7e-05,0.00028,0	0.012727,0.011561,0.005852,0.012515,0.017116	10.08715386,28.11870008,40.94771501,17.57484744,0	0.327858	100	100	48732	164
sim133	0,0,0,1,0	4.69850,4.69850,4.69850,4.69850,4.69850	1000000,1000000,1000000,1000000,1000000	0.000000105669,0.000000105669,0.000000105669,0.000000105669,0.000000105669	.01814	.00435,.00435,.00435,.00435,.00435	499	.00360	100.00000994	499	15.00844144	0,1e-04,4e-05,7e-05,1e-04:6e-05,0,6e-05,9e-05,3e-05:5e-05,0.00012,0,0.00038,3e-05:6e-05,1e-04,0.00019,0,2e-05:0.00018,7e-05,3e-05,6e-05,0	0.002594,0.004217,0.001821,0.004007,0.001461	20.27381774,16.40823734,15.80188393,0,40.49469566	0.708807	100	100	11084	81
sim136	0,0,0,1,0	3.07412,3.07412,3.07412,3.07412,3.07412	1000000,1000000,1000000,1000000,1000000	0.000000132187,0.000000132187,0.000000132187,0.000000132187,0.000000132187	.04285	.00015,.00015,.00015,.00015,.00015	499	.00362	100.00000996	89	22.80087906	0,8e-05,3e-05,7e-05,5e-05:3e-05,0,3e-05,5e-05,0.00016:1e-05,6e-05,0,6e-05,6e-05:3e-05,7e-05,5e-05,0,5e-05:2e-05,0.00027,7e-05,6e-05,0	0.000994,0.003312,0.002155,0.002697,0.002356	43.02192365,18.98252317,16.80201997,0,18.03137387	1	100	100	7724	78
sim137	0,0,0,0,1	6.52280,6.52280,6.52280,6.52280,6.52280	1000000,1000000,1000000,1000000,1000000	0.000000095559,0.000000095559,0.000000095559,0.000000095559,0.000000095559	.01163	.00302,.00302,.00302,.00302,.00302	499	.00305	100.00000994	300	16.28205338	0,7e-05,0,0,2e-05:6e-05,0,0,0,2e-05:0,0,0,0,3e-05:0,0,0,0,3e-05:0,0,0,0,0	0.000165,0.00027,8.2e-05,0.000213,0.00687	50.91508197,35.49659367,39.7621809,42.01245391,0	1	100	100	6497	73
sim139	0,0,0,0,1	4.54778,4.54778,4.54778,4.54778,4.54778	1000000,1000000,1000000,1000000,1000000	0.000000135660,0.000000135660,0.000000135660,0.000000135660,0.000000135660	.02579	.00404,.00404,.00404,.00404,.00404	499	.00399	100.00000996	499	13.45422444	0,0.00015,2e-05,5e-05,1e-04:6e-05,0,5e-05,8e-05,1e-04:3e-05,1e-04,0,4e-05,7e-05:6e-05,0.00017,0.00011,0,0.00042:7e-05,0.00018,8e-05,3e-04,0	0.002619,0.007018,0.004145,0.002721,0.00369	35.49616377,18.57481804,6.25855495,34.56436908,0	0.643041	100	100	15851	108
