species	type	location	rxn	time
1	I	5	Sample_recovery	34.17244178
2	I	5	Sample_recovery	63.59846484
3	I	9	Sample_recovery	79.34555357
4	I	2	Sample_recovery	90.63353097
5	I	2	Sample_recovery	95.59800169
6	I	2	Sample_recovery	91.98544816
7	I	2	Sample_recovery	68.73692498
8	I	2	Sample_recovery	100.00000612
9	I	5	Sample_recovery	78.90042583
10	I	5	Sample_recovery	67.93872598
11	I	6	Sample_recovery	93.16920779
12	I	6	Sample_recovery	96.75739168
13	I	6	Sample_recovery	96.47555016
14	I	9	Sample_recovery	100.00000372
15	I	6	Sample_recovery	95.79068990
16	I	5	Sample_recovery	85.25600504
17	I	5	Sample_recovery	86.50671762
18	I	5	Sample_recovery	97.55950329
19	I	5	Sample_recovery	80.29953036
20	I	7	Sample_recovery	100.00000947
21	I	5	Sample_recovery	86.83215313
22	I	0	Sample_recovery	97.74599986
23	I	0	Sample_recovery	83.36697091
24	I	0	Sample_recovery	86.21072452
25	I	7	Sample_recovery	79.95703165
26	I	7	Sample_recovery	94.12238450
27	I	7	Sample_recovery	84.49282596
28	I	0	Sample_recovery	100.00000504
29	I	0	Sample_recovery	73.84942812
30	I	0	Sample_recovery	94.91551068
31	I	0	Sample_recovery	97.13719388
32	I	0	Sample_recovery	74.08556684
33	I	0	Sample_recovery	85.60142570
34	I	1	Sample_recovery	97.39164347
35	I	1	Sample_recovery	100.00000247
36	I	1	Sample_recovery	92.76441768
37	I	1	Sample_recovery	90.10526032
38	I	1	Sample_recovery	90.79499686
39	I	1	Sample_recovery	92.19504278
40	I	0	Sample_recovery	95.75478741
41	I	2	Sample_recovery	77.00540247
42	I	2	Sample_recovery	100.00000309
43	I	2	Sample_recovery	100.00000645
44	I	6	Sample_recovery	100.00000171
45	I	8	Sample_recovery	83.06577613
46	I	8	Sample_recovery	90.00651154
47	I	2	Sample_recovery	97.72638567
48	I	8	Sample_recovery	88.93459287
49	I	8	Sample_recovery	96.86041148
50	I	8	Sample_recovery	97.19009673
51	I	9	Sample_recovery	85.43006457
52	I	5	Sample_recovery	97.64271336
53	I	5	Sample_recovery	91.49523996
54	I	5	Sample_recovery	100.00000110
55	I	5	Sample_recovery	100.00000032
56	I	5	Sample_recovery	93.69654280
57	I	8	Sample_recovery	100.00000998
58	I	8	Sample_recovery	79.02076841
59	I	8	Sample_recovery	100.00000341
60	I	8	Sample_recovery	100.00000740
61	I	8	Sample_recovery	97.33240021
62	I	0	Sample_recovery	100.00000194
63	I	5	Sample_recovery	100.00000061
64	I	5	Sample_recovery	89.36154004
65	I	2	Sample_recovery	99.44409705
66	I	3	Sample_recovery	88.08537144
67	I	7	Sample_recovery	77.70517607
68	I	5	Sample_recovery	97.27735629
69	I	5	Sample_recovery	94.30721171
70	I	4	Sample_recovery	95.36935900
71	I	5	Sample_recovery	99.93698251
72	I	1	Sample_recovery	80.48584363
73	I	1	Sample_recovery	91.05136813
74	I	3	Sample_recovery	87.35226941
75	I	2	Sample_recovery	77.67114549
76	I	2	Sample_recovery	98.29380391
77	I	9	Sample_recovery	100.00000881
78	I	5	Sample_recovery	97.08083412
79	I	5	Sample_recovery	94.70345431
