extant_morethan20_sim1.log.ancStates	.928	.021	.015	.021	.013
extant_morethan20_sim2.log.ancStates	.079	.042	.768	.074	.034
extant_morethan20_sim4.log.ancStates	.029	.015	.909	.026	.018
extant_morethan20_sim15.log.ancStates	.095	.095	.071	.651	.085
extant_morethan20_sim17.log.ancStates	0	.997	0	.002	0
extant_morethan20_sim25.log.ancStates	.005	.015	.292	.005	.680
extant_morethan20_sim28.log.ancStates	.218	.332	.170	.034	.244
extant_morethan20_sim34.log.ancStates	.013	.010	.023	.026	.925
extant_morethan20_sim36.log.ancStates	.061	.098	.069	.098	.672
extant_morethan20_sim37.log.ancStates	.005	.002	.718	.268	.005
extant_morethan20_sim42.log.ancStates	.002	.002	.989	0	.005
extant_morethan20_sim48.log.ancStates	.013	.015	.015	.941	.013
extant_morethan20_sim51.log.ancStates	.045	.023	.885	.029	.015
extant_morethan20_sim52.log.ancStates	.042	.875	.018	.034	.029
extant_morethan20_sim54.log.ancStates	.013	.023	.007	.949	.005
extant_morethan20_sim62.log.ancStates	.042	.055	.045	.811	.045
extant_morethan20_sim67.log.ancStates	.061	.148	.143	.079	.566
extant_morethan20_sim69.log.ancStates	.045	.031	.050	.045	.827
extant_morethan20_sim72.log.ancStates	.018	.021	.015	.922	.021
extant_morethan20_sim73.log.ancStates	.005	0	.002	.002	.989
extant_morethan20_sim76.log.ancStates	.015	.021	.904	.023	.034
extant_morethan20_sim83.log.ancStates	.039	.223	.670	.039	.026
extant_morethan20_sim84.log.ancStates	.045	.061	.832	.037	.023
extant_morethan20_sim85.log.ancStates	.026	.034	.896	.018	.023
extant_morethan20_sim94.log.ancStates	0	0	.015	.005	.978
extant_morethan20_sim96.log.ancStates	.106	.308	.239	.101	.244
extant_morethan20_sim99.log.ancStates	0	.002	.002	.989	.005
extant_morethan20_sim101.log.ancStates	0	0	0	0	1.000
extant_morethan20_sim102.log.ancStates	.034	.023	.875	.034	.031
extant_morethan20_sim105.log.ancStates	.002	.047	.914	.005	.029
extant_morethan20_sim107.log.ancStates	.992	0	0	.002	.005
extant_morethan20_sim108.log.ancStates	.015	.037	.890	.031	.023
extant_morethan20_sim119.log.ancStates	.018	.007	.013	.010	.949
extant_morethan20_sim120.log.ancStates	.013	.005	.005	.007	.968
extant_morethan20_sim124.log.ancStates	.109	.135	.553	.103	.098
extant_morethan20_sim125.log.ancStates	.255	.029	.061	.622	.031
extant_morethan20_sim132.log.ancStates	.021	.047	.071	.026	.832
extant_morethan20_sim139.log.ancStates	.438	.265	.119	.077	.098
extant_morethan20_sim141.log.ancStates	.013	.127	.010	.021	.827
extant_morethan20_sim143.log.ancStates	.002	0	.002	.005	.989
extant_morethan20_sim144.log.ancStates	.071	.029	.029	.042	.827
extant_morethan20_sim149.log.ancStates	.007	.002	.986	.002	0
extant_morethan20_sim152.log.ancStates	.949	.007	.018	.021	.002
extant_morethan20_sim153.log.ancStates	.018	.015	.026	.843	.095
extant_morethan20_sim156.log.ancStates	.114	.295	.414	.093	.082
extant_morethan20_sim157.log.ancStates	.031	.023	.039	.880	.023
extant_morethan20_sim160.log.ancStates	.071	.071	.066	.170	.619
extant_morethan20_sim163.log.ancStates	.757	.047	.082	.050	.061
extant_morethan20_sim175.log.ancStates	.984	.007	.005	.002	0
extant_morethan20_sim183.log.ancStates	.005	0	.015	.978	0
extant_morethan20_sim192.log.ancStates	.890	.026	.029	.023	.029
extant_morethan20_sim195.log.ancStates	.005	.013	.018	.952	.010
extant_morethan20_sim199.log.ancStates	.023	.021	.928	.013	.013
extant_morethan20_sim201.log.ancStates	.912	.029	.018	.029	.010
extant_morethan20_sim202.log.ancStates	.047	.039	.029	.843	.039
extant_morethan20_sim203.log.ancStates	.119	.672	.074	.071	.061
extant_morethan20_sim207.log.ancStates	.976	.013	.002	.005	.002
extant_morethan20_sim210.log.ancStates	0	.005	.005	.005	.984
extant_morethan20_sim216.log.ancStates	.156	.752	.021	.023	.045
extant_morethan20_sim219.log.ancStates	.500	.324	.058	.061	.055
extant_morethan20_sim220.log.ancStates	.882	.042	.026	.026	.021
extant_morethan20_sim224.log.ancStates	.015	.965	.002	.010	.005
extant_morethan20_sim225.log.ancStates	.026	.015	.034	.029	.893
extant_morethan20_sim226.log.ancStates	.031	.047	.029	.055	.835
extant_morethan20_sim230.log.ancStates	.013	.018	.026	.018	.922
extant_morethan20_sim231.log.ancStates	.824	.045	.053	.047	.029
extant_morethan20_sim234.log.ancStates	.015	.029	.015	.938	0
extant_morethan20_sim235.log.ancStates	0	0	.997	0	.002
extant_morethan20_sim239.log.ancStates	.010	.925	.018	.026	.018
extant_morethan20_sim242.log.ancStates	.013	.930	.013	.026	.015
extant_morethan20_sim247.log.ancStates	.045	.829	.031	.055	.037
extant_morethan20_sim248.log.ancStates	.010	.018	.484	.010	.476
extant_morethan20_sim249.log.ancStates	.444	.063	.063	.053	.375
extant_morethan20_sim254.log.ancStates	.005	.010	.013	.965	.005
extant_morethan20_sim256.log.ancStates	.808	.034	.055	.058	.042
extant_morethan20_sim259.log.ancStates	.505	.093	.226	.061	.114
extant_morethan20_sim262.log.ancStates	.101	.045	.694	.066	.093
extant_morethan20_sim268.log.ancStates	.002	.002	.005	.984	.005
extant_morethan20_sim277.log.ancStates	.061	.047	.026	.047	.816
extant_morethan20_sim278.log.ancStates	.042	.872	.021	.026	.037
extant_morethan20_sim279.log.ancStates	.731	.066	.082	.066	.053
extant_morethan20_sim280.log.ancStates	.034	.023	.888	.029	.023
extant_morethan20_sim282.log.ancStates	.007	.031	.941	.013	.005
extant_morethan20_sim284.log.ancStates	.093	.077	.074	.074	.680
extant_morethan20_sim285.log.ancStates	.037	.026	.021	.026	.888
extant_morethan20_sim291.log.ancStates	.984	.002	.002	.002	.007
extant_morethan20_sim298.log.ancStates	.827	.151	.007	.013	0
extant_morethan20_sim301.log.ancStates	.002	.010	.005	.018	.962
extant_morethan20_sim306.log.ancStates	.031	.686	.047	.180	.053
extant_morethan20_sim312.log.ancStates	.031	.191	.026	.026	.723
extant_morethan20_sim314.log.ancStates	.050	.757	.058	.071	.061
extant_morethan20_sim317.log.ancStates	.005	.986	.005	0	.002
extant_morethan20_sim325.log.ancStates	.023	.021	.021	.021	.912
extant_morethan20_sim326.log.ancStates	.893	.023	.026	.042	.013
extant_morethan20_sim333.log.ancStates	.018	.912	.021	.023	.023
extant_morethan20_sim334.log.ancStates	.042	.837	.037	.039	.042
extant_morethan20_sim336.log.ancStates	.023	.010	.018	.944	.002
extant_morethan20_sim338.log.ancStates	.385	.101	.002	.005	.505
extant_morethan20_sim339.log.ancStates	.037	.050	.031	.023	.856
extant_morethan20_sim340.log.ancStates	.015	.002	.002	.976	.002
extant_morethan20_sim341.log.ancStates	.021	.071	.882	.010	.013
extant_morethan20_sim343.log.ancStates	.800	.045	.050	.053	.050
extant_morethan20_sim345.log.ancStates	0	.978	.007	.010	.002
extant_morethan20_sim350.log.ancStates	.037	.021	.851	.058	.031
extant_morethan20_sim355.log.ancStates	.026	.055	.021	.853	.042
extant_morethan20_sim361.log.ancStates	.223	.414	.042	.273	.045
extant_morethan20_sim373.log.ancStates	.640	.210	.034	.074	.039
extant_morethan20_sim375.log.ancStates	.013	.007	.954	.013	.010
extant_morethan20_sim379.log.ancStates	.042	.659	.039	.039	.218
extant_morethan20_sim403.log.ancStates	.888	.023	.026	.034	.026
extant_morethan20_sim406.log.ancStates	.018	.018	.013	.928	.021
extant_morethan20_sim407.log.ancStates	.005	.007	.007	.970	.007
extant_morethan20_sim411.log.ancStates	.986	.005	.002	0	.005
extant_morethan20_sim414.log.ancStates	0	0	.997	0	.002
extant_morethan20_sim415.log.ancStates	.029	.901	.018	.034	.015
extant_morethan20_sim418.log.ancStates	.013	.976	0	.007	.002
extant_morethan20_sim419.log.ancStates	.430	.138	.109	.188	.132
extant_morethan20_sim422.log.ancStates	0	0	0	1.000	0
extant_morethan20_sim424.log.ancStates	.031	.101	.832	.026	.007
extant_morethan20_sim425.log.ancStates	.066	.827	.050	.026	.029
extant_morethan20_sim434.log.ancStates	.031	.018	.055	.869	.023
extant_morethan20_sim437.log.ancStates	.002	.981	.005	.005	.005
extant_morethan20_sim438.log.ancStates	.031	.031	.042	.058	.835
extant_morethan20_sim441.log.ancStates	.005	.010	.023	.007	.952
extant_morethan20_sim444.log.ancStates	.941	.013	.010	.010	.023
extant_morethan20_sim452.log.ancStates	.768	.031	.125	.050	.023
extant_morethan20_sim455.log.ancStates	.002	0	.002	.005	.989
extant_morethan20_sim459.log.ancStates	.042	.172	.058	.066	.659
extant_morethan20_sim461.log.ancStates	.013	.010	.954	.010	.010
extant_morethan20_sim466.log.ancStates	.914	.015	.021	.021	.026
extant_morethan20_sim470.log.ancStates	.005	.010	.002	.973	.007
extant_morethan20_sim475.log.ancStates	.111	.539	.098	.159	.090
extant_morethan20_sim478.log.ancStates	.039	.015	.039	.877	.026
extant_morethan20_sim483.log.ancStates	.021	.018	.045	.893	.021
extant_morethan20_sim487.log.ancStates	.164	.125	.042	.058	.609
extant_morethan20_sim489.log.ancStates	.502	.031	.215	.095	.154
extant_morethan20_sim491.log.ancStates	.010	.010	.013	.946	.018
extant_morethan20_sim497.log.ancStates	.954	.005	.013	.010	.015
