sim3	.4302
sim4	.4200
sim13	.5132
sim14	.6721
sim18	.5336
sim19	.4368
sim26	.6666
sim28	.4539
sim30	.7142
sim33	.5138
sim36	.4697
sim37	.3333
sim40	.6063
sim49	.5151
sim52	.4736
sim62	.5444
sim63	.3571
sim66	.5769
sim71	.5520
sim72	.4592
sim86	.5438
sim88	.5161
sim92	.5510
sim96	.4682
sim101	.5034
sim108	.3579
sim114	.6559
sim115	.5384
sim117	.5261
sim118	.4489
sim122	.5126
sim132	.4726
sim137	.5579
sim139	.4736
sim141	.5833
sim143	.5198
sim146	.6666
sim153	.7179
sim158	.4700
sim159	.5457
sim162	.5932
sim174	.5460
sim175	.4942
sim177	.5000
sim178	.4771
sim182	.4500
sim189	.5434
sim190	.4596
sim194	.4281
sim196	.4969
sim198	.5892
sim201	.4240
sim202	.5724
sim205	.4933
sim208	.5882
sim214	.4784
sim226	.4285
sim229	.5129
sim231	.6481
sim234	.5315
sim236	.5703
sim247	.4106
sim252	.5856
sim253	.5737
sim256	.5151
sim260	.4624
sim261	.5844
sim268	.6043
sim282	.5136
sim285	.4077
sim291	.5238
sim296	.8378
sim297	.4512
sim303	.4814
sim309	.6204
sim312	.5905
sim314	.5163
sim317	.6666
sim318	.4920
sim323	.4900
sim325	.3571
sim327	.5245
sim329	.5037
sim331	.5377
sim332	.4857
sim335	.7777
sim336	.6065
sim338	.4699
sim340	.4489
sim352	.5625
sim355	.5156
sim360	.5015
sim362	.7142
sim368	.5774
sim372	.5483
sim373	.5482
sim374	.4601
sim375	.5015
sim377	.4682
sim378	.4814
sim380	.5632
