sim	param_estimate	lower	upper
extant_morethan20_sim422	5.452329	5.14643	5.726583
extant_morethan20_sim424	3.80841	3.215291	4.444628
extant_morethan20_sim425	6.620331	5.838528	7.335561
extant_morethan20_sim434	3.345631	3.111547	3.616212
extant_morethan20_sim437	7.350785	6.880766	7.773947
extant_morethan20_sim438	3.030731	2.919556	3.139974
extant_morethan20_sim441	2.636432	2.496589	2.777785
extant_morethan20_sim444	5.905562	5.518068	6.289269
extant_morethan20_sim452	3.376119	2.95925	3.797051
extant_morethan20_sim455	2.883906	2.152364	3.643238
extant_morethan20_sim459	4.186701	3.830385	4.582376
extant_morethan20_sim461	2.70182	2.405035	2.975299
extant_morethan20_sim466	3.617156	3.348744	3.90012
extant_morethan20_sim470	4.987717	4.716943	5.274419
extant_morethan20_sim475	6.098511	4.760542	7.678187
extant_morethan20_sim478	4.734885	4.419114	5.065144
extant_morethan20_sim483	2.52195	2.299541	2.764477
extant_morethan20_sim487	5.139829	4.456819	5.847606
extant_morethan20_sim489	3.880929	3.513036	4.235038
extant_morethan20_sim491	2.754234	2.461672	3.047578
extant_morethan20_sim497	6.867181	6.420796	7.276783
