sim	param_estimate	lower	upper
extant_misspec_numloc_sim353	3.40048	3.255239	3.558996
extant_misspec_numloc_sim357	6.509662	5.779327	7.371169
extant_misspec_numloc_sim358	5.54125	4.533676	6.487509
extant_misspec_numloc_sim365	3.901151	3.745549	4.041267
extant_misspec_numloc_sim366	5.65077	5.022222	6.223363
extant_misspec_numloc_sim368	3.126923	2.887464	3.342512
extant_misspec_numloc_sim375	4.585459	4.087576	5.12862
extant_misspec_numloc_sim376	2.600441	2.325821	2.884675
extant_misspec_numloc_sim380	2.684084	2.485963	2.873268
extant_misspec_numloc_sim381	4.894298	3.942413	5.871944
extant_misspec_numloc_sim383	3.149396	3.002305	3.322804
extant_misspec_numloc_sim387	3.115025	2.749156	3.508793
extant_misspec_numloc_sim390	5.021618	4.758365	5.270646
