sim_number	index_location_0,index_location_1,index_location_2,index_location_3,index_location_4	R_0_0,R_0_1,R_0_2,R_0_3,R_0_4	S_0_0,S_0_1,S_0_2,S_0_3,S_0_4	beta_0,beta_1,beta_2,beta_3,beta_4 	mu	sampling_rate_0,sampling_rate_1,sampling_rate_2,sampling_rate_3,sampling_rate_4	max_tips	mean_migration_rate	 tree_length	num_tips	mean_branch_length 	loc0_imports_per_capita_from_0,loc0_imports_per_capita_from_1,loc0_imports_per_capita_from_2,loc0_imports_per_capita_from_3,loc0_imports_per_capita_from_4:loc1_imports_per_capita_from_0,loc1_imports_per_capita_from_1,loc1_imports_per_capita_from_2,loc1_imports_per_capita_from_3,loc1_imports_per_capita_from_4:loc2_imports_per_capita_from_0,loc2_imports_per_capita_from_1,loc2_imports_per_capita_from_2,loc2_imports_per_capita_from_3,loc2_imports_per_capita_from_4:loc3_imports_per_capita_from_0,loc3_imports_per_capita_from_1,loc3_imports_per_capita_from_2,loc3_imports_per_capita_from_3,loc3_imports_per_capita_from_4:loc4_imports_per_capita_from_0,loc4_imports_per_capita_from_1,loc4_imports_per_capita_from_2,loc4_imports_per_capita_from_3,loc4_imports_per_capita_from_4	 infections_per_capita_0,infections_per_capita_1,infections_per_capita_2,infections_per_capita_3,infections_per_capita_4	time_of_first_import_0,time_of_first_import_1,time_of_first_import_2,time_of_first_import_3,time_of_first_import_4	proportion_tips_sampled 	time_of_mass_sample	runtime	num_I_at_mass_sample_time	num_extant_sampled
sim202	0,0,0,1,0	3.20354,3.20354,3.20354,3.20354,3.20354	1000000,1000000,1000000,1000000,1000000	0.000000112316,0.000000112316,0.000000112316,0.000000112316,0.000000112316	.03213	.00293,.00293,.00293,.00293,.00293	499	.00333	100.00000997	322	14.66068440	0,5e-05,3e-05,1e-04,4e-05:3e-05,0,2e-05,1e-04,3e-05:4e-05,4e-05,0,9e-05,3e-05:5e-05,4e-05,2e-05,0,5e-05:5e-05,5e-05,3e-05,0.00011,0	0.001736,0.001482,0.001021,0.003632,0.001372	29.41313095,30.78526994,34.32434841,0,30.70334134	1	100	100	6469	65
sim205	0,0,0,0,1	5.03540,5.03540,5.03540,5.03540,5.03540	1000000,1000000,1000000,1000000,1000000	0.000000103628,0.000000103628,0.000000103628,0.000000103628,0.000000103628	.01775	.00283,.00283,.00283,.00283,.00283	499	.00488	100.00000931	58	46.48209646	0,1e-05,0,0,4e-05:1e-05,0,1e-05,1e-05,5e-05:1e-05,1e-05,0,0,3e-05:0,1e-05,0,0,4e-05:1e-05,1e-05,1e-05,1e-05,0	0.000117,0.000209,0.000135,9.8e-05,0.000869	55.39122999,58.42509004,57.21684465,41.24431516,0	1	100	100	1132	9
sim208	0,0,0,0,1	2.78240,2.78240,2.78240,2.78240,2.78240	1000000,1000000,1000000,1000000,1000000	0.000000146910,0.000000146910,0.000000146910,0.000000146910,0.000000146910	.04982	.00298,.00298,.00298,.00298,.00298	499	.00396	100.00000961	110	13.50127457	0,1e-05,1e-05,1e-05,7e-05:1e-05,0,1e-05,1e-05,7e-05:2e-05,1e-05,0,1e-05,7e-05:2e-05,1e-05,1e-05,0,7e-05:1e-05,2e-05,1e-05,1e-05,0	0.000464,0.000564,0.000337,0.00027,0.002483	58.03054169,55.63363594,49.83816512,65.49265323,0	1	100	100	2649	24
sim214	0,0,1,0,0	6.07874,6.07874,6.07874,6.07874,6.07874	1000000,1000000,1000000,1000000,1000000	0.000000139628,0.000000139628,0.000000139628,0.000000139628,0.000000139628	.02148	.00149,.00149,.00149,.00149,.00149	499	.00439	100.00000986	328	19.38967993	0,8e-05,0.00023,7e-05,1e-04:0.00013,0,0.00022,7e-05,1e-04:0.00013,8e-05,0,7e-05,9e-05:0.00012,6e-05,0.00022,0,1e-04:1e-04,7e-05,0.00021,8e-05,0	0.003633,0.002442,0.00697,0.002543,0.003053	40.87034902,30.70849359,0,51.00095395,28.69130092	1	100	100	15593	145
sim226	1,0,0,0,0	2.74304,2.74304,2.74304,2.74304,2.74304	1000000,1000000,1000000,1000000,1000000	0.000000119267,0.000000119267,0.000000119267,0.000000119267,0.000000119267	.04313	.00035,.00035,.00035,.00035,.00035	499	.00234	100.00000816	32	16.42115330	0,0,1e-05,4e-05,1e-05:2e-05,0,1e-05,4e-05,1e-05:2e-05,1e-05,0,3e-05,1e-05:2e-05,0,1e-05,0,2e-05:3e-05,0,0,4e-05,0	0.001435,0.000205,0.000385,0.00152,0.000694	0,54.65779035,27.80730704,20.8252538,35.29320256	1	100	100	2686	24
sim229	0,0,1,0,0	2.94626,2.94626,2.94626,2.94626,2.94626	1000000,1000000,1000000,1000000,1000000	0.000000148874,0.000000148874,0.000000148874,0.000000148874,0.000000148874	.04714	.00339,.00339,.00339,.00339,.00339	499	.00151	100.00000991	499	15.15388907	0,2e-05,0.00028,3e-05,3e-05:1e-05,0,0.00027,3e-05,3e-05:1e-05,1e-05,0,3e-05,3e-05:1e-05,3e-05,0.00028,0,3e-05:2e-05,2e-05,0.00025,3e-05,0	0.001553,0.002368,0.026753,0.002852,0.003024	44.52576594,43.69863724,0,25.38166905,43.84499437	0.467666	100	100	24011	111
sim231	0,0,1,0,0	3.38486,3.38486,3.38486,3.38486,3.38486	1000000,1000000,1000000,1000000,1000000	0.000000104422,0.000000104422,0.000000104422,0.000000104422,0.000000104422	.02682	.00403,.00403,.00403,.00403,.00403	499	.00367	100.00000993	91	16.60892764	0,1e-05,3e-05,0,0:0,0,4e-05,0,1e-05:0,1e-05,0,1e-05,1e-05:0,1e-05,4e-05,0,0:0,0,4e-05,0,0	8.6e-05,0.000179,0.001278,0.000122,0.000181	59.65344532,32.37355846,0,27.74668107,41.12414148	1	100	100	1294	21
sim234	0,1,0,0,0	5.76014,5.76014,5.76014,5.76014,5.76014	1000000,1000000,1000000,1000000,1000000	0.000000113071,0.000000113071,0.000000113071,0.000000113071,0.000000113071	.01493	.00470,.00470,.00470,.00470,.00470	499	.00254	100.00000999	499	15.19010216	0,2e-04,7e-05,5e-05,3e-05:4e-05,0,6e-05,4e-05,4e-05:4e-05,2e-04,0,4e-05,3e-05:4e-05,2e-04,5e-05,0,3e-05:5e-05,0.00023,5e-05,5e-05,0	0.001947,0.009395,0.002494,0.002039,0.00131	24.04932084,0,34.9805295,21.59340985,47.90982652	0.587059	100	100	14248	88
sim236	0,0,0,0,1	7.52738,7.52738,7.52738,7.52738,7.52738	1000000,1000000,1000000,1000000,1000000	0.000000103802,0.000000103802,0.000000103802,0.000000103802,0.000000103802	.01146	.00233,.00233,.00233,.00233,.00233	499	.00464	100.00000929	108	20.91820678	0,2e-05,2e-05,1e-05,5e-05:2e-05,0,2e-05,2e-05,5e-05:2e-05,2e-05,0,2e-05,4e-05:3e-05,3e-05,2e-05,0,5e-05:1e-05,3e-05,2e-05,2e-05,0	0.000454,0.000555,0.000454,0.000336,0.000981	45.02690577,32.39504675,16.61975692,58.52555738,0	1	100	100	2393	35
sim247	1,0,0,0,0	3.16400,3.16400,3.16400,3.16400,3.16400	1000000,1000000,1000000,1000000,1000000	0.000000159339,0.000000159339,0.000000159339,0.000000159339,0.000000159339	.04590	.00446,.00446,.00446,.00446,.00446	499	.00398	100.00000999	464	12.20570099	0,4e-05,3e-05,5e-05,3e-05:0.00017,0,3e-05,4e-05,4e-05:0.00017,5e-05,0,5e-05,4e-05:0.00017,5e-05,2e-05,0,4e-05:0.00017,4e-05,3e-05,4e-05,0	0.006844,0.001513,0.001076,0.002027,0.00166	0,33.5793406,15.40339318,41.80304949,30.89331767	1	100	100	8843	88
