sim_number	index_location_0,index_location_1,index_location_2,index_location_3,index_location_4	R_0_0,R_0_1,R_0_2,R_0_3,R_0_4	S_0_0,S_0_1,S_0_2,S_0_3,S_0_4	beta_0,beta_1,beta_2,beta_3,beta_4 	mu	sampling_rate_0,sampling_rate_1,sampling_rate_2,sampling_rate_3,sampling_rate_4	max_tips	mean_migration_rate	 tree_length	num_tips	mean_branch_length 	loc0_imports_per_capita_from_0,loc0_imports_per_capita_from_1,loc0_imports_per_capita_from_2,loc0_imports_per_capita_from_3,loc0_imports_per_capita_from_4:loc1_imports_per_capita_from_0,loc1_imports_per_capita_from_1,loc1_imports_per_capita_from_2,loc1_imports_per_capita_from_3,loc1_imports_per_capita_from_4:loc2_imports_per_capita_from_0,loc2_imports_per_capita_from_1,loc2_imports_per_capita_from_2,loc2_imports_per_capita_from_3,loc2_imports_per_capita_from_4:loc3_imports_per_capita_from_0,loc3_imports_per_capita_from_1,loc3_imports_per_capita_from_2,loc3_imports_per_capita_from_3,loc3_imports_per_capita_from_4:loc4_imports_per_capita_from_0,loc4_imports_per_capita_from_1,loc4_imports_per_capita_from_2,loc4_imports_per_capita_from_3,loc4_imports_per_capita_from_4	 infections_per_capita_0,infections_per_capita_1,infections_per_capita_2,infections_per_capita_3,infections_per_capita_4	time_of_first_import_0,time_of_first_import_1,time_of_first_import_2,time_of_first_import_3,time_of_first_import_4	proportion_tips_sampled 	time_of_mass_sample	runtime	num_I_at_mass_sample_time	num_extant_sampled
sim327	0,0,1,0,0	3.45842,3.45842,3.45842,3.45842,3.45842	1000000,1000000,1000000,1000000,1000000	0.000000134532,0.000000134532,0.000000134532,0.000000134532,0.000000134532	.03393	.00497,.00497,.00497,.00497,.00497	499	.00067	100.00000986	499	16.52349182	0,0,9e-05,8e-05,0:1e-05,0,9e-05,7e-05,2e-05:0,0,0,6e-05,1e-05:1e-05,1e-05,0.00011,0,0:0,0,0.00011,6e-05,0	0.001151,0.001132,0.020481,0.012796,0.001353	49.81726851,53.34966352,0,14.05951434,34.42481874	0.308978	100	100	26248	74
sim329	1,0,0,0,0	6.33914,6.33914,6.33914,6.33914,6.33914	1000000,1000000,1000000,1000000,1000000	0.000000137115,0.000000137115,0.000000137115,0.000000137115,0.000000137115	.01827	.00336,.00336,.00336,.00336,.00336	499	.00101	100.00000991	499	17.32347611	0,8e-05,3e-05,4e-05,2e-05:0.00026,0,3e-05,3e-05,2e-05:0.00026,6e-05,0,2e-05,2e-05:3e-04,8e-05,2e-05,0,2e-05:0.00028,7e-05,3e-05,4e-05,0	0.037258,0.009223,0.00357,0.004766,0.003315	0,25.42825009,45.90514845,33.59200454,52.42985708	0.264021	100	100	48834	128
sim331	1,0,0,0,0	2.79944,2.79944,2.79944,2.79944,2.79944	1000000,1000000,1000000,1000000,1000000	0.000000118640,0.000000118640,0.000000118640,0.000000118640,0.000000118640	.04062	.00176,.00176,.00176,.00176,.00176	499	.00110	100.00000999	175	17.47371935	0,0,0,0,1e-05:5e-05,0,0,0,1e-05:5e-05,0,0,0,2e-05:7e-05,0,0,0,1e-05:7e-05,0,0,0,0	0.005876,0.00028,0.000198,0.000232,0.001114	0,50.14813565,59.00967061,45.35629172,28.48803196	1	100	100	4961	60
sim332	0,0,0,0,1	7.15658,7.15658,7.15658,7.15658,7.15658	1000000,1000000,1000000,1000000,1000000	0.000000105774,0.000000105774,0.000000105774,0.000000105774,0.000000105774	.01081	.00397,.00397,.00397,.00397,.00397	499	.00102	100.00000999	499	15.92514078	0,1e-05,0,2e-05,8e-05:0,0,0,1e-05,9e-05:1e-05,1e-05,0,2e-05,8e-05:1e-05,2e-05,0,0,9e-05:0,1e-05,0,1e-05,0	0.000618,0.001842,0.000431,0.001681,0.008636	45.78036591,28.91190738,57.77437967,31.92819116,0	0.803543	100	100	11366	93
sim335	1,0,0,0,0	6.81176,6.81176,6.81176,6.81176,6.81176	1000000,1000000,1000000,1000000,1000000	0.000000091890,0.000000091890,0.000000091890,0.000000091890,0.000000091890	.01260	.00089,.00089,.00089,.00089,.00089	499	.00208	100.00000826	26	21.33020369	0,2e-05,1e-05,0,0:1e-05,0,0,0,0:0,1e-05,0,0,0:1e-05,1e-05,1e-05,0,0:1e-05,1e-05,1e-05,0,0	0.000257,0.000743,0.000274,6.3e-05,5.5e-05	0,12.29080319,39.93812895,24.26985026,47.87064464	1	100	100	1162	14
sim336	0,1,0,0,0	3.34856,3.34856,3.34856,3.34856,3.34856	1000000,1000000,1000000,1000000,1000000	0.000000080700,0.000000080700,0.000000080700,0.000000080700,0.000000080700	.02163	.00247,.00247,.00247,.00247,.00247	499	.00216	100.00000943	51	19.50874634	0,0,0,0,0:1e-05,0,0,0,0:1e-05,0,0,0,1e-05:1e-05,1e-05,0,0,0:1e-05,1e-05,0,0,0	0.000327,0.000381,2e-05,9.4e-05,0.000117	17.18041996,0,33.36772097,43.93366472,46.28639802	1	100	100	667	6
sim338	1,0,0,0,0	3.68204,3.68204,3.68204,3.68204,3.68204	1000000,1000000,1000000,1000000,1000000	0.000000113517,0.000000113517,0.000000113517,0.000000113517,0.000000113517	.02692	.00391,.00391,.00391,.00391,.00391	499	.00121	100.00000987	271	16.18412083	0,0,0,1e-05,0:6e-05,0,0,1e-05,0:4e-05,0,0,1e-05,0:6e-05,1e-05,0,0,0:5e-05,0,0,1e-05,0	0.00457,0.000383,0.000185,0.00094,0.000193	0,43.48972455,46.72026724,46.31592594,52.52318003	1	100	100	4505	44
sim340	0,0,1,0,0	7.28036,7.28036,7.28036,7.28036,7.28036	1000000,1000000,1000000,1000000,1000000	0.000000116776,0.000000116776,0.000000116776,0.000000116776,0.000000116776	.01250	.00354,.00354,.00354,.00354,.00354	499	.00196	100.00000999	499	14.08588637	0,2e-05,0.00017,2e-05,1e-05:1e-05,0,0.00016,2e-05,2e-05:1e-05,2e-05,0,2e-05,2e-05:1e-05,1e-05,0.00018,0,1e-05:1e-05,2e-05,0.00018,2e-05,0	0.000642,0.000855,0.009734,0.001477,0.000602	58.61560748,51.88102215,0,45.61855544,51.27206716	0.996008	100	100	11460	103
sim352	0,1,0,0,0	2.31032,2.31032,2.31032,2.31032,2.31032	1000000,1000000,1000000,1000000,1000000	0.000000089594,0.000000089594,0.000000089594,0.000000089594,0.000000089594	.03541	.00337,.00337,.00337,.00337,.00337	499	.00070	100.00000588	27	20.03808517	0,0,0,0,0:0,0,0,0,0:0,0,0,0,0:0,0,0,0,0:0,1e-05,0,0,0	7e-06,0.000457,6.8e-05,0,3.3e-05	46.41000089,0,39.9602794,99.58056995,66.73408925	1	100	100	295	1
sim355	0,0,0,0,1	2.67086,2.67086,2.67086,2.67086,2.67086	1000000,1000000,1000000,1000000,1000000	0.000000126839,0.000000126839,0.000000126839,0.000000126839,0.000000126839	.04408	.00341,.00341,.00341,.00341,.00341	499	.00048	100.00000933	99	13.91249860	0,0,0,0,1e-05:0,0,0,0,2e-05:0,0,0,0,1e-05:0,0,0,0,1e-05:0,0,0,0,0	7e-06,6.6e-05,8e-06,7.1e-05,0.003097	66.77877338,57.35292364,60.78510749,61.46152282,0	1	100	100	2034	17
sim360	0,0,0,0,1	4.13780,4.13780,4.13780,4.13780,4.13780	1000000,1000000,1000000,1000000,1000000	0.000000120492,0.000000120492,0.000000120492,0.000000120492,0.000000120492	.02647	.00265,.00265,.00265,.00265,.00265	499	.00274	100.00000990	499	17.73314485	0,7e-05,0.00013,7e-05,0.00035:6e-05,0,9e-05,7e-05,0.00036:7e-05,6e-05,0,7e-05,0.00035:8e-05,8e-05,0.00011,0,0.00036:8e-05,5e-05,0.00011,8e-05,0	0.003043,0.00272,0.004922,0.003655,0.015327	9.56924604,29.30361892,8.4651324,39.15249362,0	0.559417	100	100	22489	123
sim362	0,1,0,0,0	2.86406,2.86406,2.86406,2.86406,2.86406	1000000,1000000,1000000,1000000,1000000	0.000000100328,0.000000100328,0.000000100328,0.000000100328,0.000000100328	.03358	.00145,.00145,.00145,.00145,.00145	499	.00375	100.00000755	38	21.61517563	0,4e-05,1e-05,1e-05,1e-05:1e-05,0,1e-05,1e-05,1e-05:0,2e-05,0,1e-05,2e-05:1e-05,4e-05,1e-05,0,1e-05:1e-05,3e-05,0,1e-05,0	0.000238,0.000907,0.00026,0.000289,0.000398	28.91194351,0,28.93711937,45.67133179,28.26103976	1	100	100	1342	6
sim368	0,0,0,1,0	4.36394,4.36394,4.36394,4.36394,4.36394	1000000,1000000,1000000,1000000,1000000	0.000000104996,0.000000104996,0.000000104996,0.000000104996,0.000000104996	.02319	.00087,.00087,.00087,.00087,.00087	499	.00414	100.00000986	58	21.58384625	0,2e-05,2e-05,7e-05,1e-05:4e-05,0,1e-05,5e-05,2e-05:4e-05,2e-05,0,6e-05,2e-05:3e-05,1e-05,2e-05,0,2e-05:4e-05,1e-05,2e-05,6e-05,0	0.001061,0.000329,0.000474,0.001589,0.000537	23.64780894,58.77733705,29.22938968,0,44.33772782	1	100	100	3103	32
sim372	0,0,1,0,0	5.55416,5.55416,5.55416,5.55416,5.55416	1000000,1000000,1000000,1000000,1000000	0.000000083867,0.000000083867,0.000000083867,0.000000083867,0.000000083867	.01185	.00325,.00325,.00325,.00325,.00325	499	.00117	100.00000757	50	19.40174084	0,0,1e-05,0,0:0,0,1e-05,0,0:0,0,0,0,0:0,0,1e-05,0,0:0,0,1e-05,0,0	4.9e-05,2.7e-05,0.000811,1e-06,2.8e-05	60.6169122,58.50849415,0,50.19311045,62.68305945	1	100	100	758	4
sim373	0,0,0,0,1	5.69186,5.69186,5.69186,5.69186,5.69186	1000000,1000000,1000000,1000000,1000000	0.000000126359,0.000000126359,0.000000126359,0.000000126359,0.000000126359	.01997	.00223,.00223,.00223,.00223,.00223	499	.00050	100.00000994	499	17.96365843	0,0,0,0,8e-05:0,0,0,0,8e-05:0,0,0,0,7e-05:0,0,0,0,8e-05:0,0,1e-05,0,0	0.000419,0.000418,0.001173,0.000438,0.019137	50.88040386,35.84170132,32.48800632,64.26514998,0	0.939736	100	100	17675	136
sim374	0,1,0,0,0	4.09550,4.09550,4.09550,4.09550,4.09550	1000000,1000000,1000000,1000000,1000000	0.000000094360,0.000000094360,0.000000094360,0.000000094360,0.000000094360	.01952	.00352,.00352,.00352,.00352,.00352	499	.00192	100.00000990	167	18.83707050	0,5e-05,1e-05,1e-05,0:1e-05,0,1e-05,1e-05,1e-05:0,5e-05,0,1e-05,0:1e-05,5e-05,1e-05,0,0:1e-05,6e-05,1e-05,2e-05,0	0.000424,0.002938,0.000299,0.000531,0.000194	44.31903158,0,16.04494547,20.18277598,43.05255068	1	100	100	3376	29
sim375	0,0,0,0,1	3.25280,3.25280,3.25280,3.25280,3.25280	1000000,1000000,1000000,1000000,1000000	0.000000132649,0.000000132649,0.000000132649,0.000000132649,0.000000132649	.03716	.00362,.00362,.00362,.00362,.00362	499	.00023	100.00000995	499	15.18814507	0,0,0,0,3e-05:0,0,0,0,4e-05:0,0,0,0,4e-05:0,0,0,0,4e-05:0,0,0,0,0	5.3e-05,5.4e-05,0.000189,0.000166,0.021086	32.44136309,73.21497971,50.65338072,54.44814289,0	0.677989	100	100	14895	96
sim377	0,0,0,1,0	6.70022,6.70022,6.70022,6.70022,6.70022	1000000,1000000,1000000,1000000,1000000	0.000000130319,0.000000130319,0.000000130319,0.000000130319,0.000000130319	.01723	.00222,.00222,.00222,.00222,.00222	499	.00183	100.00000985	499	15.88047734	0,3e-05,3e-05,0.00028,4e-05:4e-05,0,3e-05,3e-04,4e-05:4e-05,4e-05,0,0.00027,4e-05:3e-05,4e-05,4e-05,0,4e-05:4e-05,4e-05,3e-05,0.00029,0	0.002947,0.00249,0.002377,0.020697,0.002897	41.54616569,39.70142673,38.67068351,0,40.86538466	0.647211	100	100	26688	172
sim378	0,0,0,0,1	5.27126,5.27126,5.27126,5.27126,5.27126	1000000,1000000,1000000,1000000,1000000	0.000000068315,0.000000068315,0.000000068315,0.000000068315,0.000000068315	.01040	.00256,.00256,.00256,.00256,.00256	499	.00437	100.00000869	22	19.92204748	0,1e-05,0,0,1e-05:0,0,1e-05,0,1e-05:0,1e-05,0,0,2e-05:0,0,0,0,1e-05:1e-05,1e-05,1e-05,0,0	5.7e-05,7.1e-05,6.4e-05,3.8e-05,0.000192	53.1962488,39.91430696,53.99879691,60.68473897,0	1	100	100	353	4
sim380	0,0,0,0,1	4.28024,4.28024,4.28024,4.28024,4.28024	1000000,1000000,1000000,1000000,1000000	0.000000110472,0.000000110472,0.000000110472,0.000000110472,0.000000110472	.02481	.00100,.00100,.00100,.00100,.00100	499	.00359	100.00000989	70	22.69931435	0,1e-05,1e-05,2e-05,7e-05:1e-05,0,1e-05,1e-05,6e-05:1e-05,1e-05,0,2e-05,6e-05:1e-05,1e-05,1e-05,0,6e-05:1e-05,0,1e-05,2e-05,0	0.000351,0.000216,0.000316,0.000515,0.002088	35.53667387,48.84735421,37.50709127,46.46157504,0	1	100	100	2699	37
