sim_number	index_location_0	index_location_1	index_location_2	index_location_3	index_location_4	R_0_0	R_0_1	R_0_2	R_0_3	R_0_4	S_0_0	S_0_1	S_0_2	S_0_3	S_0_4	beta_0	beta_1	beta_2	beta_3	beta_4 	mu	sampling_rate_0	sampling_rate_1	sampling_rate_2	sampling_rate_3	sampling_rate_4	max_tips	mean_migration_rate	 tree_length	num_tips	mean_branch_length	loc0_imports_per_capita_from_0	loc0_imports_per_capita_from_1	loc0_imports_per_capita_from_2	loc0_imports_per_capita_from_3	loc0_imports_per_capita_from_4:loc1_imports_per_capita_from_0	loc1_imports_per_capita_from_1	loc1_imports_per_capita_from_2	loc1_imports_per_capita_from_3	loc1_imports_per_capita_from_4:loc2_imports_per_capita_from_0	loc2_imports_per_capita_from_1	loc2_imports_per_capita_from_2	loc2_imports_per_capita_from_3	loc2_imports_per_capita_from_4:loc3_imports_per_capita_from_0	loc3_imports_per_capita_from_1	loc3_imports_per_capita_from_2	loc3_imports_per_capita_from_3	loc3_imports_per_capita_from_4:loc4_imports_per_capita_from_0	loc4_imports_per_capita_from_1	loc4_imports_per_capita_from_2	loc4_imports_per_capita_from_3	loc4_imports_per_capita_from_4	 infections_per_capita_0	infections_per_capita_1	infections_per_capita_2	infections_per_capita_3	infections_per_capita_4	time_of_first_import_0	time_of_first_import_1	time_of_first_import_2	time_of_first_import_3	time_of_first_import_4	proportion_tips_sampled 	time_of_mass_sample	runtime	num_I_at_mass_sample_time	num_extant_sampled
sim142	0	1	0	0	0	6.64754	6.64754	6.64754	6.64754	6.64754	1000000	1000000	1000000	1000000	1000000	0.000000125505	0.000000124907	0.000000144451	0.000000133283	0.000000127300	.01681	.00207	.00198	.00492	.00324	.00234	499	.00031	100.00000998	235	13.93195048	0	1e-05	0	0	0:0	0	0	0	0:0	2e-05	0	0	1e-05:0	1e-05	0	0	0:0	2e-05	0	0	0	5e-05	0.00857	0.000277	9e-06	0.001512	71.95753206	0	69.50976788	73.53383439	51.37078519	1	100	100	8875	93
sim145	0	0	0	0	1	4.80086	4.80086	4.80086	4.80086	4.80086	1000000	1000000	1000000	1000000	1000000	0.000000070428	0.000000058666	0.000000067356	0.000000063035	0.000000072973	.01116	.00351	.00106	.00287	.00197	.00404	499	.00150	100.00000997	68	16.70566227	0	0	0	0	2e-05:0	0	0	0	2e-05:0	0	0	0	1e-05:0	0	0	0	1e-05:0	0	0	0	0	5.2e-05	4.5e-05	1.4e-05	2.6e-05	0.000875	54.28812619	42.10295687	66.24297958	39.53508808	0	1	100	100	782	13
sim147	0	1	0	0	0	2.86040	2.86040	2.86040	2.86040	2.86040	1000000	1000000	1000000	1000000	1000000	0.000000112642	0.000000112213	0.000000113243	0.000000117505	0.000000121738	.03788	.00150	.00135	.00171	.00320	.00468	499	.00129	100.00000982	344	18.30124970	0	0.00016	1e-05	2e-05	1e-05:1e-05	0	1e-05	1e-05	1e-05:1e-05	0.00015	0	1e-05	1e-05:1e-05	0.00013	1e-05	0	1e-05:1e-05	0.00016	2e-05	1e-05	0	0.000417	0.012494	0.000928	0.001448	0.00089	38.10823422	0	40.62914585	30.34364355	16.28155126	1	100	100	10539	106
sim152	0	0	0	1	0	4.93670	4.93670	4.93670	4.93670	4.93670	1000000	1000000	1000000	1000000	1000000	0.000000085009	0.000000091230	0.000000097944	0.000000102683	0.000000100412	.01659	.00063	.00189	.00325	.00421	.00375	499	.00492	100.00000981	95	15.20254632	0	1e-05	2e-05	4e-05	2e-05:1e-05	0	2e-05	5e-05	2e-05:2e-05	2e-05	0	4e-05	3e-05:2e-05	2e-05	1e-05	0	2e-05:2e-05	1e-05	3e-05	6e-05	0	0.000223	0.000251	0.000361	0.001136	0.000507	48.78217446	16.11019342	16.69906626	0	32.05877876	1	100	100	1995	18
sim154	0	0	1	0	0	5.50892	5.50892	5.50892	5.50892	5.50892	1000000	1000000	1000000	1000000	1000000	0.000000095194	0.000000105055	0.000000109737	0.000000087922	0.000000092660	.01495	.00233	.00412	.00497	.00101	.00187	499	.00345	100.00000981	499	14.63408621	0	7e-05	0.00021	5e-05	4e-05:8e-05	0	2e-04	7e-05	4e-05:7e-05	7e-05	0	7e-05	4e-05:7e-05	7e-05	0.00023	0	5e-05:8e-05	7e-05	2e-04	8e-05	0	0.001999	0.002136	0.006997	0.001686	0.001118	29.43831555	22.04973034	0	17.35941115	36.63488242	0.814029	100	100	11371	93
sim155	0	0	0	1	0	6.19232	6.19232	6.19232	6.19232	6.19232	1000000	1000000	1000000	1000000	1000000	0.000000141122	0.000000139946	0.000000155055	0.000000159018	0.000000163539	.02207	.00072	.00053	.00297	.00361	.00434	499	.00340	100.00000975	34	13.07445302	0	1e-05	0	0	0:2e-05	0	0	0	1e-05:1e-05	1e-05	0	0	0:2e-05	2e-05	0	0	0:1e-05	1e-05	0	0	0	0.000599	0.000485	0.00011	0.000184	0.000218	7.9728585	59.47269157	75.15380586	0	62.14743006	1	100	100	1352	17
sim157	0	0	0	1	0	2.99978	2.99978	2.99978	2.99978	2.99978	1000000	1000000	1000000	1000000	1000000	0.000000111771	0.000000124940	0.000000115281	0.000000124100	0.000000111681	.03675	.00051	.00490	.00168	.00462	.00048	499	.00025	100.00000959	392	13.30940547	0	0	0	2e-05	0:0	0	0	1e-05	0:0	0	0	2e-05	0:0	0	0	0	0:0	0	0	2e-05	0	0.000385	0.000132	8.3e-05	0.008573	4.2e-05	37.50622478	59.72017982	55.53531003	0	66.26858518	1	100	100	6115	61
sim158	1	0	0	0	0	7.22084	7.22084	7.22084	7.22084	7.22084	1000000	1000000	1000000	1000000	1000000	0.000000151709	0.000000172722	0.000000167956	0.000000155753	0.000000175971	.01978	.00123	.00414	.00348	.00179	.00459	499	.00121	100.00000996	499	14.75548975	0	2e-05	9e-05	5e-05	1e-05:0.00026	0	1e-04	4e-05	3e-05:0.00029	2e-05	0	4e-05	1e-05:0.00024	2e-05	1e-04	0	2e-05:0.00024	1e-05	8e-05	5e-05	0	0.032121	0.002161	0.012681	0.006062	0.003054	0	49.35906521	39.98959915	47.07582625	59.11058651	0.396977	100	100	48115	200
sim162	1	0	0	0	0	2.52950	2.52950	2.52950	2.52950	2.52950	1000000	1000000	1000000	1000000	1000000	0.000000114080	0.000000105783	0.000000114636	0.000000117318	0.000000110134	.04139	.00371	.00043	.00393	.00499	.00215	499	.00166	100.00000881	77	16.91447523	0	0	0	0	0:2e-05	0	0	0	0:3e-05	0	0	0	0:3e-05	0	0	0	0:3e-05	0	0	0	0	0.0019	5.2e-05	2.8e-05	7e-05	0.000169	0	58.39592844	25.01551276	28.03917371	34.05631862	1	100	100	1308	13
sim164	0	0	1	0	0	4.17368	4.17368	4.17368	4.17368	4.17368	1000000	1000000	1000000	1000000	1000000	0.000000070201	0.000000081219	0.000000089275	0.000000077922	0.000000075710	.01672	.00010	.00274	.00467	.00195	.00142	499	.00324	100.00000726	57	13.96070487	0	0	2e-05	0	1e-05:2e-05	0	2e-05	0	0:0	1e-05	0	0	1e-05:1e-05	0	2e-05	0	1e-05:2e-05	0	3e-05	0	0	0.000262	6.8e-05	0.000677	6.3e-05	0.000238	35.93388978	57.879165	0	63.54588614	46.28772641	1	100	100	1040	5
sim171	0	0	0	0	1	6.35744	6.35744	6.35744	6.35744	6.35744	1000000	1000000	1000000	1000000	1000000	0.000000094280	0.000000064909	0.000000092055	0.000000080294	0.000000082074	.01007	.00476	.00014	.00441	.00256	.00284	499	.00283	100.00000824	125	15.10940936	0	1e-05	1e-05	1e-05	4e-05:2e-05	0	1e-05	1e-05	3e-05:3e-05	0	0	1e-05	3e-05:1e-05	0	2e-05	0	4e-05:3e-05	1e-05	1e-05	0	0	0.000841	0.000145	0.000491	0.000189	0.00109	24.85429523	32.08881887	33.07104568	29.79331775	0	1	100	100	2304	13
sim173	0	1	0	0	0	5.07128	5.07128	5.07128	5.07128	5.07128	1000000	1000000	1000000	1000000	1000000	0.000000138344	0.000000148537	0.000000150972	0.000000141539	0.000000143821	.02698	.00030	.00231	.00279	.00093	.00138	499	.00400	100.00000932	131	14.55019350	0	1e-05	2e-05	2e-05	0.00014:1e-05	0	1e-05	1e-05	0.00013:2e-05	2e-05	0	1e-05	0.00013:1e-05	1e-05	1e-05	0	0.00012:2e-05	1e-05	1e-05	2e-05	0	0.000644	0.000502	4e-04	0.000668	0.004498	64.96445011	0	62.62095694	26.61881154	34.85785741	1	100	100	5376	57
sim175	0	1	0	0	0	3.87320	3.87320	3.87320	3.87320	3.87320	1000000	1000000	1000000	1000000	1000000	0.000000095900	0.000000087340	0.000000086372	0.000000089161	0.000000099076	.02214	.00262	.00041	.00016	.00088	.00344	499	.00358	100.00000923	62	18.80562594	0	6e-05	1e-05	1e-05	2e-05:1e-05	0	1e-05	1e-05	2e-05:1e-05	5e-05	0	1e-05	3e-05:2e-05	6e-05	1e-05	0	2e-05:2e-05	5e-05	1e-05	1e-05	0	0.000426	0.001429	0.000263	0.000271	0.000531	37.69932275	0	34.88342864	32.20418714	36.67133148	1	100	100	2185	16
sim183	0	0	0	1	0	5.06762	5.06762	5.06762	5.06762	5.06762	1000000	1000000	1000000	1000000	1000000	0.000000122889	0.000000139106	0.000000118075	0.000000138802	0.000000140575	.02311	.00114	.00434	.00019	.00428	.00463	499	.00309	100.00000994	499	15.81812895	0	0.00013	0.00017	0.00045	1e-04:1e-04	0	2e-04	4e-04	8e-05:9e-05	0.00011	0	0.00043	9e-05:9e-05	0.00012	0.00016	0	8e-05:9e-05	0.00013	0.00017	0.00042	0	0.003618	0.005317	0.006852	0.018049	0.004061	40.65419931	34.66616492	17.08897473	0	47.54809114	0.419328	100	100	30384	125
sim187	0	1	0	0	0	3.46946	3.46946	3.46946	3.46946	3.46946	1000000	1000000	1000000	1000000	1000000	0.000000137390	0.000000144225	0.000000137911	0.000000141172	0.000000133366	.03826	.00134	.00331	.00149	.00243	.00018	499	.00336	100.00000998	499	15.51596530	0	0.00041	0.00014	1e-04	8e-05:8e-05	0	0.00015	0.00011	7e-05:8e-05	0.00041	0	8e-05	7e-05:8e-05	0.00042	0.00012	0	7e-05:8e-05	4e-04	0.00013	8e-05	0	0.003436	0.01762	0.005649	0.003682	0.002938	25.88164214	0	27.494713	25.90552946	26.65740274	0.629256	100	100	23671	150
sim189	0	1	0	0	0	4.65542	4.65542	4.65542	4.65542	4.65542	1000000	1000000	1000000	1000000	1000000	0.000000066200	0.000000075371	0.000000069598	0.000000078397	0.000000061358	.01263	.00159	.00356	.00232	.00421	.00055	499	.00393	100.00000843	51	21.47675435	0	2e-05	1e-05	2e-05	0:1e-05	0	1e-05	2e-05	1e-05:1e-05	3e-05	0	1e-05	1e-05:1e-05	4e-05	2e-05	0	0:1e-05	4e-05	1e-05	2e-05	0	0.000199	0.00057	0.000174	0.000304	8.4e-05	25.44129728	0	18.38264248	17.26573393	15.48836365	1	100	100	1044	7
sim192	0	0	0	0	1	3.02978	3.02978	3.02978	3.02978	3.02978	1000000	1000000	1000000	1000000	1000000	0.000000107193	0.000000107042	0.000000108496	0.000000107738	0.000000099225	.03156	.00382	.00377	.00425	.00400	.00119	499	.00126	100.00000892	33	19.13363413	0	0	0	1e-05	1e-05:0	0	0	0	0:0	0	0	0	0:0	0	0	0	1e-05:0	0	0	1e-05	0	9e-05	3e-05	6.7e-05	0.000524	0.00048	11.83817259	27.99581671	61.57386704	21.13079602	0	1	100	100	806	5
sim195	0	0	1	0	0	4.29362	4.29362	4.29362	4.29362	4.29362	1000000	1000000	1000000	1000000	1000000	0.000000110088	0.000000100685	0.000000111591	0.000000116700	0.000000103089	.02278	.00286	.00067	.00321	.00440	.00123	499	.00263	100.00000987	251	17.64504133	0	8e-05	5e-05	1e-05	5e-05:3e-05	0	5e-05	1e-05	5e-05:3e-05	9e-05	0	1e-05	6e-05:2e-05	7e-05	4e-05	0	5e-05:3e-05	9e-05	7e-05	1e-05	0	0.001277	0.003306	0.002139	0.000712	0.002085	32.09972146	2.88568874	0	34.65145179	12.04509714	1	100	100	7302	86
sim196	0	0	1	0	0	4.63436	4.63436	4.63436	4.63436	4.63436	1000000	1000000	1000000	1000000	1000000	0.000000123922	0.000000115024	0.000000123783	0.000000117017	0.000000120215	.02408	.00266	.00074	.00263	.00117	.00186	499	.00236	100.00000980	499	16.21713774	0	4e-05	0.00022	3e-05	0.00012:0.00012	0	0.00022	3e-05	1e-04:0.00011	6e-05	0	4e-05	0.00014:0.00011	3e-05	0.00023	0	0.00012:0.00012	5e-05	0.00023	3e-05	0	0.00573	0.002084	0.011991	0.001702	0.005807	21.04746039	49.02290672	0	42.27462914	24.89860547	0.680764	100	100	21489	149
sim203	0	0	1	0	0	2.85674	2.85674	2.85674	2.85674	2.85674	1000000	1000000	1000000	1000000	1000000	0.000000150064	0.000000145122	0.000000143436	0.000000150864	0.000000148064	.04983	.00270	.00097	.00038	.00298	.00200	499	.00195	100.00000986	254	17.49771968	0	1e-05	0.00021	2e-05	1e-05:1e-05	0	0.00023	3e-05	1e-05:2e-05	1e-05	0	2e-05	2e-05:1e-05	2e-05	0.00018	0	1e-05:2e-05	2e-05	0.00022	2e-05	0	0.001244	0.000894	0.015557	0.001785	0.001074	40.74323366	50.74532339	0	44.91066277	48.67145517	1	100	100	13343	128
sim205	0	0	0	1	0	3.14000	3.14000	3.14000	3.14000	3.14000	1000000	1000000	1000000	1000000	1000000	0.000000066599	0.000000068483	0.000000064087	0.000000068357	0.000000072094	.01920	.00201	.00261	.00121	.00257	.00376	499	.00155	100.00000177	25	23.03643928	0	0	0	1e-05	0:0	0	0	1e-05	0:0	0	0	1e-05	0:0	0	0	0	0:0	0	0	1e-05	0	1e-06	4.4e-05	2.1e-05	0.000489	7e-06	71.26020575	38.83905311	59.74022584	0	61.21647994	1	100	100	389	3
sim206	1	0	0	0	0	3.10412	3.10412	3.10412	3.10412	3.10412	1000000	1000000	1000000	1000000	1000000	0.000000058760	0.000000053049	0.000000053204	0.000000052366	0.000000061834	.01514	.00379	.00195	.00200	.00173	.00478	499	.00024	100.00000792	20	18.70017368	0	0	0	0	0:0	0	0	0	0:0	0	0	0	0:0	0	0	0	0:0	0	0	0	0	0.000282	0	0	0	2.1e-05	0	-1	-1	-1	41.51783601	1	100	100	224	3
sim210	1	0	0	0	0	4.78964	4.78964	4.78964	4.78964	4.78964	1000000	1000000	1000000	1000000	1000000	0.000000118064	0.000000104126	0.000000112269	0.000000106186	0.000000113370	.02019	.00446	.00155	.00325	.00198	.00348	499	.00448	100.00000993	499	17.24486604	0	0.00015	2e-04	0.00019	0.00016:0.00049	0	2e-04	0.00017	0.00013:5e-04	0.00018	0	0.00018	0.00013:0.00049	0.00018	2e-04	0	0.00013:0.00051	0.00018	2e-04	0.00017	0	0.013215	0.004049	0.004966	0.004373	0.003441	0	28.28935798	15.10858631	17.57475581	31.24708334	0.434669	100	100	23796	104
sim212	0	1	0	0	0	4.25444	4.25444	4.25444	4.25444	4.25444	1000000	1000000	1000000	1000000	1000000	0.000000121464	0.000000118145	0.000000131079	0.000000129164	0.000000132398	.02629	.00226	.00148	.00452	.00407	.00483	499	.00292	100.00000995	389	12.74100679	0	5e-05	3e-05	2e-05	0.00011:3e-05	0	3e-05	3e-05	0.00014:3e-05	5e-05	0	1e-05	0.00011:2e-05	5e-05	2e-05	0	0.00011:3e-05	6e-05	3e-05	2e-05	0	0.001114	0.002133	0.001413	0.000983	0.004709	23.39354996	0	39.85758326	38.07084384	23.28215496	1	100	100	7898	78
sim215	0	0	1	0	0	2.85986	2.85986	2.85986	2.85986	2.85986	1000000	1000000	1000000	1000000	1000000	0.000000115452	0.000000116167	0.000000114880	0.000000126062	0.000000123202	.03983	.00054	.00079	.00034	.00425	.00325	499	.00447	100.00000997	54	17.33274492	0	1e-05	1e-05	0	4e-05:1e-05	0	1e-05	0	3e-05:1e-05	1e-05	0	1e-05	3e-05:1e-05	1e-05	1e-05	0	3e-05:1e-05	1e-05	1e-05	1e-05	0	0.000287	0.000356	0.000307	0.000135	0.000824	44.54900936	21.09672748	0	23.46991602	20.08102289	1	100	100	1203	18
sim216	1	0	0	0	0	2.45042	2.45042	2.45042	2.45042	2.45042	1000000	1000000	1000000	1000000	1000000	0.000000113356	0.000000117350	0.000000109043	0.000000107352	0.000000114116	.04301	.00325	.00488	.00149	.00080	.00356	499	.00034	100.00000953	133	16.88347782	0	0	0	0	0:2e-05	0	0	0	0:1e-05	0	0	0	0:1e-05	0	0	0	0:0	0	0	0	0	0.004056	3.5e-05	3.3e-05	0.000427	1.3e-05	0	49.49846525	58.73082671	22.29495808	43.12170342	1	100	100	2660	23
sim218	0	1	0	0	0	5.72630	5.72630	5.72630	5.72630	5.72630	1000000	1000000	1000000	1000000	1000000	0.000000113552	0.000000106451	0.000000118820	0.000000109086	0.000000103416	.01756	.00227	.00103	.00319	.00149	.00050	499	.00123	100.00000993	47	20.17657922	0	2e-05	0	0	0:0	0	0	0	0:0	2e-05	0	0	0:0	1e-05	0	0	0:0	2e-05	0	0	0	0.00033	0.001936	9.2e-05	7.6e-05	1.8e-05	50.82471274	0	63.21329417	71.05432371	60.82754417	1	100	100	2010	22
sim219	0	0	0	1	0	5.38736	5.38736	5.38736	5.38736	5.38736	1000000	1000000	1000000	1000000	1000000	0.000000108285	0.000000122885	0.000000108232	0.000000104891	0.000000107908	.01842	.00168	.00439	.00167	.00105	.00161	499	.00499	100.00000966	62	15.77475217	0	2e-05	1e-05	4e-05	0:1e-05	0	1e-05	3e-05	0:1e-05	3e-05	0	5e-05	1e-05:1e-05	2e-05	1e-05	0	1e-05:1e-05	3e-05	1e-05	4e-05	0	0.000171	0.000533	0.000223	0.000982	0.000109	56.95933326	51.03087229	41.19781029	0	45.16690616	1	100	100	1665	23
sim221	0	0	0	1	0	3.17024	3.17024	3.17024	3.17024	3.17024	1000000	1000000	1000000	1000000	1000000	0.000000096850	0.000000093997	0.000000095614	0.000000096819	0.000000096724	.02877	.00178	.00088	.00139	.00177	.00174	499	.00210	100.00000990	173	19.92345986	0	2e-05	2e-05	8e-05	2e-05:2e-05	0	2e-05	8e-05	1e-05:2e-05	1e-05	0	8e-05	1e-05:2e-05	2e-05	3e-05	0	1e-05:2e-05	2e-05	2e-05	1e-04	0	0.000961	0.000918	0.001118	0.003596	0.000645	9.16014756	29.12494919	23.14604699	0	18.98216033	1	100	100	4970	41
sim228	1	0	0	0	0	3.83420	3.83420	3.83420	3.83420	3.83420	1000000	1000000	1000000	1000000	1000000	0.000000136114	0.000000136535	0.000000143092	0.000000144856	0.000000135308	.03386	.00164	.00175	.00346	.00392	.00143	499	.00466	100.00000994	499	17.75186849	0	0.00026	0.00054	0.00053	0.00026:0.00046	0	0.00048	0.00054	0.00026:0.00047	0.00021	0	0.00055	0.00027:0.00045	0.00023	0.00053	0	0.00027:0.00046	0.00024	0.00047	0.00057	0	0.01317	0.007356	0.015797	0.017451	0.007641	0	37.25322439	13.44700888	28.11697342	30.38625014	0.2997	100	100	45154	126
sim230	0	1	0	0	0	4.24910	4.24910	4.24910	4.24910	4.24910	1000000	1000000	1000000	1000000	1000000	0.000000096794	0.000000086044	0.000000093607	0.000000097346	0.000000096242	.01909	.00369	.00116	.00294	.00382	.00356	499	.00394	100.00000978	62	16.43460351	0	2e-05	2e-05	1e-05	1e-05:1e-05	0	2e-05	1e-05	2e-05:1e-05	1e-05	0	1e-05	1e-05:1e-05	0	3e-05	0	1e-05:1e-05	2e-05	2e-05	1e-05	0	0.000339	0.000271	0.000625	0.000165	0.000345	27.27948111	0	34.7483775	29.12835754	37.91597752	1	100	100	1369	15
sim231	0	0	0	1	0	3.95432	3.95432	3.95432	3.95432	3.95432	1000000	1000000	1000000	1000000	1000000	0.000000087548	0.000000100004	0.000000098897	0.000000102219	0.000000092886	.02109	.00105	.00420	.00392	.00476	.00240	499	.00205	100.00000776	30	18.48352728	0	0	0	1e-05	1e-05:0	0	0	1e-05	1e-05:0	0	0	0	1e-05:0	0	0	0	1e-05:0	0	0	1e-05	0	2.8e-05	3.6e-05	4.3e-05	0.00033	0.000392	49.96933023	76.72315493	73.36611193	0	20.42896161	1	100	100	636	11
sim234	0	1	0	0	0	3.08324	3.08324	3.08324	3.08324	3.08324	1000000	1000000	1000000	1000000	1000000	0.000000092713	0.000000079146	0.000000086731	0.000000085282	0.000000090246	.02517	.00490	.00050	.00296	.00249	.00410	499	.00308	100.00000867	31	15.25332321	0	0	0	0	0:1e-05	0	0	1e-05	0:1e-05	0	0	0	0:0	0	0	0	0:1e-05	0	0	0	0	0.000238	5.2e-05	6.4e-05	7.4e-05	6.9e-05	26.05315153	0	16.46701797	54.62350332	62.92415434	1	100	100	328	7
sim242	0	1	0	0	0	7.17686	7.17686	7.17686	7.17686	7.17686	1000000	1000000	1000000	1000000	1000000	0.000000133633	0.000000111456	0.000000135355	0.000000122006	0.000000115475	.01468	.00394	.00085	.00418	.00232	.00141	499	.00457	100.00000994	499	15.12414189	0	2e-04	0.00032	0.00011	0.00015:0.00033	0	0.00032	0.00013	0.00014:0.00028	0.00021	0	0.00012	0.00014:0.00027	0.00022	0.00031	0	0.00015:0.00033	0.00022	0.00028	0.00012	0	0.00896	0.004996	0.008616	0.003407	0.003746	35.92856425	0	36.05003507	35.35602655	35.20242084	0.525817	100	100	25549	130
sim250	0	0	1	0	0	5.61932	5.61932	5.61932	5.61932	5.61932	1000000	1000000	1000000	1000000	1000000	0.000000130761	0.000000116881	0.000000130424	0.000000121658	0.000000123119	.01919	.00408	.00161	.00402	.00246	.00272	499	.00284	100.00000983	499	15.16515754	0	9e-05	0.00015	9e-05	9e-05:0.00022	0	0.00018	8e-05	9e-05:2e-04	8e-05	0	8e-05	9e-05:0.00019	9e-05	0.00017	0	1e-04:2e-04	7e-05	0.00017	7e-05	0	0.009057	0.003608	0.007671	0.003336	0.003981	3.30859843	30.29519335	0	9.09748786	9.29094071	0.52361	100	100	22659	108
sim256	0	0	0	0	1	7.50302	7.50302	7.50302	7.50302	7.50302	1000000	1000000	1000000	1000000	1000000	0.000000116146	0.000000105717	0.000000107218	0.000000117047	0.000000105417	.01246	.00302	.00163	.00183	.00314	.00159	499	.00396	100.00000931	122	14.97273436	0	2e-05	3e-05	4e-05	3e-05:2e-05	0	2e-05	4e-05	5e-05:3e-05	4e-05	0	4e-05	6e-05:3e-05	3e-05	3e-05	0	4e-05:3e-05	3e-05	2e-05	4e-05	0	0.000833	0.000765	0.000551	0.001036	0.001206	47.31531307	25.6470494	57.46677871	25.06585968	0	1	100	100	3828	34
sim259	0	0	1	0	0	6.43766	6.43766	6.43766	6.43766	6.43766	1000000	1000000	1000000	1000000	1000000	0.000000116972	0.000000106092	0.000000100620	0.000000104096	0.000000115620	.01445	.00372	.00203	.00118	.00172	.00351	499	.00146	100.00000580	29	18.41120985	0	1e-05	1e-05	0	0:0	0	1e-05	0	0:0	1e-05	0	0	0:0	0	1e-05	0	0:0	1e-05	1e-05	0	0	0.00011	0.000387	0.000824	5e-06	4.6e-05	64.02438382	27.91628412	0	82.83533223	78.35807381	1	100	100	1174	6
sim261	0	0	0	0	1	2.73734	2.73734	2.73734	2.73734	2.73734	1000000	1000000	1000000	1000000	1000000	0.000000093671	0.000000097695	0.000000090852	0.000000094000	0.000000091290	.03108	.00314	.00461	.00211	.00326	.00227	499	.00255	100.00000915	130	16.05346382	0	3e-05	1e-05	1e-05	1e-05:2e-05	0	1e-05	1e-05	2e-05:2e-05	3e-05	0	1e-05	2e-05:1e-05	4e-05	0	0	1e-05:2e-05	3e-05	1e-05	1e-05	0	0.000792	0.001349	0.000225	0.000289	0.000452	12.55678357	11.5580226	42.05136267	50.19915276	0	1	100	100	1990	21
sim262	0	0	1	0	0	3.45572	3.45572	3.45572	3.45572	3.45572	1000000	1000000	1000000	1000000	1000000	0.000000110375	0.000000100907	0.000000107749	0.000000109477	0.000000105226	.02850	.00344	.00070	.00268	.00318	.00195	499	.00083	100.00000905	46	17.24990650	0	0	1e-05	0	0:0	0	1e-05	0	0:0	0	0	0	0:0	0	1e-05	0	0:0	0	1e-05	0	0	0.000126	1.8e-05	0.001029	9.2e-05	5.2e-05	56.76293432	69.89653084	0	50.3965369	59.95852144	1	100	100	929	14
sim267	0	0	0	1	0	3.82250	3.82250	3.82250	3.82250	3.82250	1000000	1000000	1000000	1000000	1000000	0.000000071060	0.000000082451	0.000000085547	0.000000079278	0.000000078819	.01768	.00091	.00389	.00470	.00306	.00294	499	.00118	100.00000926	102	19.56939709	0	0	1e-05	3e-05	0:0	0	0	3e-05	0:0	0	0	3e-05	0:0	0	0	0	0:0	0	0	3e-05	0	0.000231	5.5e-05	0.000258	0.001911	0.000139	14.93859189	51.23231376	27.00876482	0	38.76318131	1	100	100	1933	20
sim269	1	0	0	0	0	4.25426	4.25426	4.25426	4.25426	4.25426	1000000	1000000	1000000	1000000	1000000	0.000000102782	0.000000101123	0.000000112780	0.000000107590	0.000000114737	.02334	.00082	.00043	.00317	.00195	.00363	499	.00154	100.00000991	499	17.26515279	0	2e-05	4e-05	1e-05	1e-04:0.00019	0	2e-05	2e-05	1e-04:0.00016	3e-05	0	1e-05	9e-05:0.00016	3e-05	3e-05	0	9e-05:0.00015	3e-05	4e-05	3e-05	0	0.010515	0.001783	0.002519	0.001223	0.007727	0	15.27286379	23.42143769	28.18935959	6.23189299	0.757208	100	100	18157	143
sim272	0	0	1	0	0	7.56158	7.56158	7.56158	7.56158	7.56158	1000000	1000000	1000000	1000000	1000000	0.000000109642	0.000000109264	0.000000101400	0.000000099056	0.000000090134	.01113	.00337	.00332	.00228	.00197	.00079	499	.00146	100.00000951	96	14.93405744	0	1e-05	1e-05	0	0:0	0	1e-05	0	0:1e-05	1e-05	0	0	1e-05:1e-05	1e-05	1e-05	0	0:1e-05	1e-05	1e-05	0	0	0.000632	0.000677	0.001025	0.000173	0.000392	32.23287713	39.66744911	0	55.57305757	23.66766949	1	100	100	2554	25
sim276	0	1	0	0	0	2.59784	2.59784	2.59784	2.59784	2.59784	1000000	1000000	1000000	1000000	1000000	0.000000080481	0.000000087131	0.000000081208	0.000000081909	0.000000076298	.02878	.00220	.00476	.00248	.00275	.00059	499	.00058	100.00000704	30	17.50178872	0	0	0	0	0:0	0	0	0	0:0	0	0	0	0:0	1e-05	0	0	0:0	0	0	1e-05	0	0	0.000141	2.6e-05	0.00037	2.9e-05	63.70593998	0	43.07235117	24.89640401	68.72730798	1	100	100	335	1
sim281	0	0	1	0	0	5.48660	5.48660	5.48660	5.48660	5.48660	1000000	1000000	1000000	1000000	1000000	0.000000075001	0.000000083341	0.000000084603	0.000000094753	0.000000089541	.01242	.00125	.00277	.00300	.00485	.00390	499	.00323	100.00000976	45	16.76942042	0	1e-05	2e-05	0	0:0	0	3e-05	0	0:0	0	0	0	0:0	1e-05	1e-05	0	0:0	0	1e-05	0	0	5.4e-05	0.000135	5e-04	6.7e-05	3.9e-05	60.65348437	53.41093177	0	55.43608282	72.97275637	1	100	100	636	10
sim283	0	0	1	0	0	5.50982	5.50982	5.50982	5.50982	5.50982	1000000	1000000	1000000	1000000	1000000	0.000000095540	0.000000116863	0.000000109369	0.000000097964	0.000000093887	.01646	.00088	.00475	.00339	.00132	.00058	499	.00111	100.00000996	421	15.77953297	0	1e-05	1e-04	0	0:4e-05	0	9e-05	0	0:4e-05	0	0	1e-05	0:4e-05	1e-05	1e-04	0	0:3e-05	0	1e-04	0	0	0.003155	0.000707	0.009266	0.000469	0.000464	15.14359612	31.05107679	0	45.51720788	41.23606726	1	100	100	11581	90
