sim_number	index_location_0	index_location_1	index_location_2	index_location_3	index_location_4	R_0_0	R_0_1	R_0_2	R_0_3	R_0_4	S_0_0	S_0_1	S_0_2	S_0_3	S_0_4	beta_0	beta_1	beta_2	beta_3	beta_4 	mu	sampling_rate_0	sampling_rate_1	sampling_rate_2	sampling_rate_3	sampling_rate_4	max_tips	mean_migration_rate	 tree_length	num_tips	mean_branch_length	loc0_imports_per_capita_from_0	loc0_imports_per_capita_from_1	loc0_imports_per_capita_from_2	loc0_imports_per_capita_from_3	loc0_imports_per_capita_from_4:loc1_imports_per_capita_from_0	loc1_imports_per_capita_from_1	loc1_imports_per_capita_from_2	loc1_imports_per_capita_from_3	loc1_imports_per_capita_from_4:loc2_imports_per_capita_from_0	loc2_imports_per_capita_from_1	loc2_imports_per_capita_from_2	loc2_imports_per_capita_from_3	loc2_imports_per_capita_from_4:loc3_imports_per_capita_from_0	loc3_imports_per_capita_from_1	loc3_imports_per_capita_from_2	loc3_imports_per_capita_from_3	loc3_imports_per_capita_from_4:loc4_imports_per_capita_from_0	loc4_imports_per_capita_from_1	loc4_imports_per_capita_from_2	loc4_imports_per_capita_from_3	loc4_imports_per_capita_from_4	 infections_per_capita_0	infections_per_capita_1	infections_per_capita_2	infections_per_capita_3	infections_per_capita_4	time_of_first_import_0	time_of_first_import_1	time_of_first_import_2	time_of_first_import_3	time_of_first_import_4	proportion_tips_sampled 	time_of_mass_sample	runtime	num_I_at_mass_sample_time	num_extant_sampled
sim46	0	1	0	0	0	4.88798	4.88798	4.88798	4.88798	4.88798	1000000	1000000	1000000	1000000	1000000	0.000000120390	0.000000116089	0.000000110370	0.000000118729	0.000000110517	.01966	.00497	.00409	.00292	.00463	.00295	499	.00483	100.00000973	177	12.75083918	0	7e-05	4e-05	3e-05	5e-05:2e-05	0	3e-05	3e-05	4e-05:1e-05	6e-05	0	2e-05	5e-05:2e-05	6e-05	3e-05	0	5e-05:2e-05	6e-05	4e-05	3e-05	0	0.000504	0.001749	0.00073	0.000563	0.001044	56.08949112	0	46.9396837	42.87301506	39.46821996	1	100	100	3704	37
sim49	0	1	0	0	0	5.15078	5.15078	5.15078	5.15078	5.15078	1000000	1000000	1000000	1000000	1000000	0.000000087717	0.000000107239	0.000000087717	0.000000095392	0.000000093126	.01691	.00012	.00391	.00012	.00161	.00117	499	.00318	100.00000982	139	15.32175418	0	7e-05	1e-05	1e-05	1e-05:1e-05	0	0	1e-05	1e-05:1e-05	7e-05	0	1e-05	1e-05:2e-05	8e-05	1e-05	0	1e-05:2e-05	7e-05	1e-05	0	0	0.000492	0.002469	0.000255	0.000326	0.000359	13.30159229	0	58.18769121	47.73843481	47.52170153	1	100	100	3099	36
sim52	0	0	0	0	1	5.49044	5.49044	5.49044	5.49044	5.49044	1000000	1000000	1000000	1000000	1000000	0.000000132319	0.000000150108	0.000000141653	0.000000130946	0.000000125401	.02266	.00144	.00468	.00314	.00119	.00018	499	.00103	100.00000918	23	17.90610723	0	0	0	0	1e-05:0	0	0	0	1e-05:0	0	0	0	1e-05:0	0	0	0	1e-05:0	0	0	0	0	3.8e-05	4.2e-05	7.4e-05	1.6e-05	0.001559	82.22752533	82.42305318	72.11772415	80.20948686	0	1	100	100	1409	13
sim55	0	0	0	1	0	3.77852	3.77852	3.77852	3.77852	3.77852	1000000	1000000	1000000	1000000	1000000	0.000000139049	0.000000154805	0.000000153596	0.000000139162	0.000000141278	.03620	.00060	.00477	.00445	.00063	.00119	499	.00202	100.00000998	499	17.56279188	0	0.00012	1e-04	0.00038	0.00013:0.00016	0	9e-05	0.00035	0.00012:0.00016	0.00012	0	0.00035	0.00013:0.00016	0.00014	1e-04	0	0.00011:0.00015	0.00013	9e-05	0.00037	0	0.010847	0.010097	0.00706	0.024172	0.009014	18.55526655	31.18423539	36.19522887	0	18.06238076	0.39761	100	100	44778	189
sim59	1	0	0	0	0	3.25334	3.25334	3.25334	3.25334	3.25334	1000000	1000000	1000000	1000000	1000000	0.000000105440	0.000000110060	0.000000117315	0.000000107230	0.000000118291	.03205	.00036	.00178	.00401	.00091	.00431	499	.00281	100.00000996	131	19.29538337	0	1e-05	2e-05	5e-05	2e-05:6e-05	0	1e-05	5e-05	2e-05:9e-05	1e-05	0	4e-05	2e-05:1e-04	1e-05	2e-05	0	2e-05:7e-05	1e-05	2e-05	3e-05	0	0.003078	0.000432	0.00079	0.001448	0.000814	0	47.44352632	38.31243154	28.40362676	35.90796772	1	100	100	4503	41
sim61	1	0	0	0	0	4.97864	4.97864	4.97864	4.97864	4.97864	1000000	1000000	1000000	1000000	1000000	0.000000094643	0.000000095490	0.000000094843	0.000000100269	0.000000092801	.01659	.00242	.00259	.00246	.00355	.00205	499	.00417	100.00000619	21	20.46347860	0	0	0	0	0:1e-05	0	1e-05	0	0:1e-05	0	0	1e-05	0:1e-05	0	0	0	0:1e-05	0	0	0	0	0.000168	6e-05	0.000115	0.000139	4e-05	0	15.92233651	36.32004997	22.45884612	28.18815615	1	100	100	407	4
sim62	0	1	0	0	0	7.37810	7.37810	7.37810	7.37810	7.37810	1000000	1000000	1000000	1000000	1000000	0.000000156341	0.000000139519	0.000000157153	0.000000139003	0.000000130002	.01676	.00443	.00215	.00454	.00208	.00086	499	.00188	100.00000999	321	12.21831943	0	0.00012	2e-05	1e-05	1e-05:1e-05	0	2e-05	1e-05	1e-05:1e-05	0.00013	0	1e-05	1e-05:1e-05	0.00013	1e-05	0	1e-05:1e-05	0.00013	1e-05	1e-05	0	0.000562	0.008662	0.001143	0.000893	0.000577	63.98044257	0	63.09430783	14.50130413	66.81772767	1	100	100	10245	109
sim64	0	0	1	0	0	4.91180	4.91180	4.91180	4.91180	4.91180	1000000	1000000	1000000	1000000	1000000	0.000000108305	0.000000124710	0.000000122402	0.000000126036	0.000000120928	.02082	.00123	.00457	.00410	.00484	.00380	499	.00031	100.00000994	499	13.80967765	0	0	4e-05	1e-05	0:0	0	4e-05	0	0:0	0	0	1e-05	0:0	0	4e-05	0	0:0	0	4e-05	1e-05	0	0.000206	0.000113	0.015539	0.002552	0.000136	57.09051856	45.66260259	0	13.79625688	61.81520417	0.614532	100	100	14668	90
sim79	0	1	0	0	0	4.85048	4.85048	4.85048	4.85048	4.85048	1000000	1000000	1000000	1000000	1000000	0.000000083767	0.000000086823	0.000000083913	0.000000083816	0.000000072514	.01384	.00343	.00406	.00346	.00344	.00111	499	.00070	100.00000675	28	15.17806582	0	0	0	0	0:0	0	0	0	0:0	0	0	0	0:0	0	0	0	0:0	0	0	0	0	1.4e-05	0.000339	0	0.00012	2e-06	64.62038601	0	96.85781564	33.39528912	87.11269314	1	100	100	375	4
sim81	0	1	0	0	0	3.37736	3.37736	3.37736	3.37736	3.37736	1000000	1000000	1000000	1000000	1000000	0.000000102570	0.000000100611	0.000000101422	0.000000101185	0.000000088824	.02619	.00418	.00360	.00384	.00377	.00011	499	.00420	100.00000680	30	13.92200877	0	1e-05	0	0	0:0	0	0	0	0:1e-05	1e-05	0	0	0:0	1e-05	0	0	0:0	1e-05	0	0	0	4.5e-05	3e-04	8e-05	4.9e-05	4e-05	67.69298052	0	46.00590945	53.04764797	66.50649506	1	100	100	352	1
