misspec_delta_sim298.log.ancStates	.055	.063	.077	.029	.773
misspec_delta_sim299.log.ancStates	0	.002	.989	.002	.005
misspec_delta_sim300.log.ancStates	.053	.047	.803	.037	.058
misspec_delta_sim302.log.ancStates	.007	.002	.002	.984	.002
misspec_delta_sim304.log.ancStates	.869	.029	.034	.034	.031
misspec_delta_sim307.log.ancStates	.023	.026	.885	.042	.021
misspec_delta_sim308.log.ancStates	.013	.005	0	.678	.303
misspec_delta_sim311.log.ancStates	.013	.941	0	.021	.023
misspec_delta_sim313.log.ancStates	.034	.156	.018	.771	.018
misspec_delta_sim321.log.ancStates	.002	0	0	.994	.002
misspec_delta_sim324.log.ancStates	.375	.018	.018	.021	.566
misspec_delta_sim325.log.ancStates	.186	.430	.172	.125	.085
misspec_delta_sim328.log.ancStates	.103	.279	.132	.194	.289
misspec_delta_sim334.log.ancStates	.965	.010	.005	.005	.013
misspec_delta_sim339.log.ancStates	.875	.026	.018	.045	.034
misspec_delta_sim340.log.ancStates	.002	.901	.063	.015	.015
misspec_delta_sim344.log.ancStates	.042	.037	.077	.819	.023
misspec_delta_sim347.log.ancStates	0	.002	.007	.978	.010
misspec_delta_sim350.log.ancStates	.582	.034	.199	.119	.063
misspec_delta_sim354.log.ancStates	.053	.023	.859	.029	.034
misspec_delta_sim355.log.ancStates	.005	.010	.007	.007	.968
misspec_delta_sim356.log.ancStates	.013	.494	.029	.438	.023
misspec_delta_sim358.log.ancStates	.039	.042	.013	.885	.018
misspec_delta_sim360.log.ancStates	0	0	1.000	0	0
misspec_delta_sim363.log.ancStates	.002	.021	.960	.007	.007
misspec_delta_sim368.log.ancStates	.002	.965	.007	.018	.005
misspec_delta_sim369.log.ancStates	.146	.093	.101	.534	.125
misspec_delta_sim370.log.ancStates	.699	.087	.082	.053	.077
misspec_delta_sim378.log.ancStates	.018	.893	.053	.021	.013
misspec_delta_sim381.log.ancStates	.079	.093	.547	.058	.220
misspec_delta_sim388.log.ancStates	.015	.007	.013	.013	.949
misspec_delta_sim391.log.ancStates	0	.002	.992	0	.005
misspec_delta_sim393.log.ancStates	.002	0	.997	0	0
