species	type	location	rxn	time
1	I	3	Sample_recovery	99.86392531
2	I	1	Sample_recovery	100.00000761
3	I	0	Sample_recovery	79.17248134
4	I	0	Sample_recovery	96.41958339
5	I	0	Sample_recovery	89.45016581
6	I	0	Sample_recovery	90.44430728
7	I	0	Sample_recovery	100.00000699
8	I	0	Sample_recovery	100.00000589
9	I	0	Sample_recovery	95.76049887
10	I	0	Sample_recovery	100.00000908
11	I	0	Sample_recovery	94.42788728
12	I	0	Sample_recovery	100.00000376
13	I	2	Sample_recovery	99.28728193
14	I	0	Sample_recovery	85.25232576
15	I	0	Sample_recovery	84.42446419
16	I	0	Sample_recovery	99.98983471
17	I	0	Sample_recovery	92.48159243
18	I	0	Sample_recovery	87.15461858
19	I	0	Sample_recovery	63.09799715
20	I	0	Sample_recovery	100.00000972
21	I	0	Sample_recovery	85.61347920
22	I	0	Sample_recovery	95.50403624
23	I	4	Sample_recovery	82.25548773
24	I	4	Sample_recovery	86.14331574
25	I	4	Sample_recovery	99.12002407
26	I	0	Sample_recovery	85.90692523
27	I	0	Sample_recovery	67.59554293
28	I	4	Sample_recovery	100.00000827
29	I	0	Sample_recovery	70.28631412
30	I	4	Sample_recovery	78.28431366
31	I	4	Sample_recovery	97.60694794
32	I	0	Sample_recovery	69.90100740
33	I	1	Sample_recovery	92.62723657
34	I	0	Sample_recovery	99.53432549
35	I	0	Sample_recovery	87.60305816
36	I	2	Sample_recovery	97.06535739
37	I	0	Sample_recovery	100.00000742
38	I	1	Sample_recovery	100.00000743
39	I	1	Sample_recovery	98.72547066
40	I	0	Sample_recovery	98.38830434
41	I	0	Sample_recovery	96.29077730
42	I	0	Sample_recovery	98.61378828
43	I	0	Sample_recovery	94.10586828
44	I	0	Sample_recovery	71.16125033
45	I	0	Sample_recovery	87.71260059
46	I	0	Sample_recovery	61.35603535
47	I	0	Sample_recovery	99.54549074
48	I	0	Sample_recovery	86.34773410
49	I	0	Sample_recovery	79.65328800
50	I	0	Sample_recovery	98.16602249
51	I	0	Sample_recovery	94.01278573
52	I	0	Sample_recovery	87.25382336
53	I	3	Sample_recovery	77.30366537
54	I	3	Sample_recovery	95.07966453
55	I	0	Sample_recovery	90.64346776
56	I	0	Sample_recovery	98.37988710
57	I	0	Sample_recovery	69.40610161
58	I	0	Sample_recovery	99.27238880
59	I	0	Sample_recovery	100.00000169
60	I	0	Sample_recovery	93.56924141
61	I	0	Sample_recovery	95.72259478
62	I	0	Sample_recovery	63.48215267
63	I	0	Sample_recovery	76.65458365
64	I	0	Sample_recovery	100.00000713
65	I	0	Sample_recovery	100.00000160
66	I	4	Sample_recovery	100.00000622
67	I	0	Sample_recovery	89.95993775
68	I	0	Sample_recovery	100.00000817
69	I	0	Sample_recovery	100.00000093
70	I	0	Sample_recovery	83.18815496
71	I	0	Sample_recovery	100.00000722
72	I	0	Sample_recovery	97.12623195
73	I	3	Sample_recovery	97.61530766
74	I	0	Sample_recovery	92.09966937
75	I	0	Sample_recovery	85.43728402
76	I	0	Sample_recovery	100.00000326
77	I	2	Sample_recovery	25.10538222
78	I	2	Sample_recovery	42.12438876
79	I	2	Sample_recovery	98.93790371
80	I	2	Sample_recovery	96.17558780
81	I	2	Sample_recovery	62.30694447
82	I	3	Sample_recovery	98.16002472
83	I	2	Sample_recovery	85.08161472
84	I	1	Sample_recovery	100.00000177
85	I	2	Sample_recovery	88.74973191
86	I	3	Sample_recovery	100.00000258
87	I	3	Sample_recovery	95.40825400
88	I	3	Sample_recovery	100.00000338
89	I	3	Sample_recovery	95.78411546
90	I	2	Sample_recovery	89.36435693
91	I	2	Sample_recovery	95.26483291
92	I	2	Sample_recovery	99.49763436
93	I	2	Sample_recovery	90.28746684
94	I	2	Sample_recovery	95.91191688
95	I	2	Sample_recovery	77.80742419
96	I	2	Sample_recovery	80.62604225
97	I	2	Sample_recovery	94.49090934
98	I	2	Sample_recovery	100.00000953
99	I	2	Sample_recovery	94.33183283
100	I	2	Sample_recovery	97.05835274
101	I	2	Sample_recovery	100.00000197
102	I	2	Sample_recovery	76.73692475
103	I	2	Sample_recovery	100.00000992
104	I	1	Sample_recovery	98.26759432
105	I	0	Sample_recovery	81.16631289
106	I	0	Sample_recovery	65.19868650
107	I	3	Sample_recovery	100.00000644
108	I	0	Sample_recovery	95.66233053
109	I	0	Sample_recovery	92.27903723
110	I	0	Sample_recovery	87.09517042
111	I	0	Sample_recovery	83.25597770
112	I	0	Sample_recovery	87.50618153
113	I	0	Sample_recovery	98.32296626
114	I	0	Sample_recovery	93.66370883
115	I	0	Sample_recovery	69.84491676
116	I	0	Sample_recovery	88.17381273
117	I	0	Sample_recovery	100.00000452
118	I	4	Sample_recovery	98.29176018
119	I	0	Sample_recovery	64.99623378
120	I	0	Sample_recovery	84.44433638
121	I	0	Sample_recovery	97.59903188
122	I	0	Sample_recovery	100.00000290
123	I	0	Sample_recovery	70.49743057
124	I	3	Sample_recovery	91.71160964
125	I	3	Sample_recovery	100.00000867
126	I	1	Sample_recovery	98.18226739
127	I	0	Sample_recovery	97.05333913
128	I	0	Sample_recovery	100.00000342
