species	type	location	rxn	time
1	I	4	Sample_recovery	100.00000598
2	I	4	Sample_recovery	100.00000212
3	I	4	Sample_recovery	98.30543035
4	I	4	Sample_recovery	95.63792902
5	I	4	Sample_recovery	69.60406192
6	I	0	Sample_recovery	100.00000121
7	I	2	Sample_recovery	100.00000770
8	I	2	Sample_recovery	85.31091706
9	I	0	Sample_recovery	96.20869315
10	I	4	Sample_recovery	100.00000270
11	I	1	Sample_recovery	100.00000675
12	I	0	Sample_recovery	100.00000020
13	I	0	Sample_recovery	96.53867001
14	I	4	Sample_recovery	94.68863328
15	I	0	Sample_recovery	99.23310810
16	I	0	Sample_recovery	87.82158509
17	I	0	Sample_recovery	99.76614597
18	I	0	Sample_recovery	100.00000550
19	I	0	Sample_recovery	97.15219668
20	I	0	Sample_recovery	100.00000624
21	I	0	Sample_recovery	100.00000202
22	I	0	Sample_recovery	89.57690381
23	I	0	Sample_recovery	100.00000058
24	I	0	Sample_recovery	86.99011603
25	I	1	Sample_recovery	98.46084411
26	I	2	Sample_recovery	81.95742681
27	I	0	Sample_recovery	100.00000722
28	I	0	Sample_recovery	100.00000928
29	I	0	Sample_recovery	100.00000120
30	I	4	Sample_recovery	100.00000983
31	I	4	Sample_recovery	68.09876464
32	I	4	Sample_recovery	97.22977845
33	I	1	Sample_recovery	93.30384326
34	I	4	Sample_recovery	97.14771256
35	I	1	Sample_recovery	100.00000250
