species	type	location	rxn	time
1	I	3	Sample_recovery	38.35469656
2	I	1	Sample_recovery	100.00000466
3	I	3	Sample_recovery	93.54772702
4	I	3	Sample_recovery	99.56272524
5	I	3	Sample_recovery	100.00000862
6	I	3	Sample_recovery	97.69226867
7	I	3	Sample_recovery	95.85994563
8	I	4	Sample_recovery	90.11069717
9	I	3	Sample_recovery	89.48849683
10	I	4	Sample_recovery	100.00000672
11	I	3	Sample_recovery	74.74464119
12	I	3	Sample_recovery	61.36880353
13	I	3	Sample_recovery	100.00000947
14	I	3	Sample_recovery	94.58162162
15	I	3	Sample_recovery	88.95613367
16	I	3	Sample_recovery	70.95397836
17	I	0	Sample_recovery	94.36929677
18	I	3	Sample_recovery	100.00000288
19	I	2	Sample_recovery	97.22150426
20	I	2	Sample_recovery	96.46887506
21	I	3	Sample_recovery	94.17985684
22	I	3	Sample_recovery	94.21814207
23	I	3	Sample_recovery	82.60181106
24	I	3	Sample_recovery	80.98397311
25	I	1	Sample_recovery	89.77218673
26	I	0	Sample_recovery	100.00000262
27	I	3	Sample_recovery	96.07911507
28	I	3	Sample_recovery	98.25604993
29	I	0	Sample_recovery	96.87160645
30	I	0	Sample_recovery	82.51412410
31	I	4	Sample_recovery	99.83399021
32	I	3	Sample_recovery	97.90131060
33	I	1	Sample_recovery	97.83553903
34	I	1	Sample_recovery	97.47487769
35	I	1	Sample_recovery	84.29905778
36	I	1	Sample_recovery	98.80627134
37	I	1	Sample_recovery	89.78233588
38	I	1	Sample_recovery	98.12988880
39	I	1	Sample_recovery	82.23145390
40	I	1	Sample_recovery	89.34070606
41	I	1	Sample_recovery	87.66124455
42	I	1	Sample_recovery	100.00000397
43	I	1	Sample_recovery	100.00000292
44	I	0	Sample_recovery	94.84575931
45	I	1	Sample_recovery	90.81187477
46	I	1	Sample_recovery	76.83590090
47	I	3	Sample_recovery	98.65222320
48	I	1	Sample_recovery	91.54200059
49	I	3	Sample_recovery	97.52722971
50	I	2	Sample_recovery	88.21021971
51	I	4	Sample_recovery	91.91588266
52	I	2	Sample_recovery	100.00000215
53	I	2	Sample_recovery	93.80706124
54	I	4	Sample_recovery	99.15210773
55	I	0	Sample_recovery	96.68422669
56	I	3	Sample_recovery	100.00000751
57	I	1	Sample_recovery	87.37727641
58	I	1	Sample_recovery	89.34493367
59	I	1	Sample_recovery	94.52399535
60	I	1	Sample_recovery	93.16589673
