species	type	location	rxn	time
1	I	0	Sample_recovery	100.00000719
2	I	4	Sample_recovery	100.00000821
3	I	2	Sample_recovery	99.72880039
4	I	2	Sample_recovery	100.00000009
5	I	1	Sample_recovery	100.00000159
6	I	1	Sample_recovery	100.00000793
7	I	1	Sample_recovery	91.66460901
8	I	4	Sample_recovery	100.00000296
9	I	0	Sample_recovery	94.27237126
10	I	2	Sample_recovery	64.16066704
11	I	2	Sample_recovery	63.20413358
12	I	2	Sample_recovery	100.00000369
13	I	3	Sample_recovery	87.18576340
14	I	3	Sample_recovery	100.00000429
15	I	3	Sample_recovery	99.89011663
16	I	0	Sample_recovery	94.08778451
17	I	0	Sample_recovery	99.63306016
18	I	2	Sample_recovery	100.00000545
19	I	1	Sample_recovery	100.00000816
20	I	1	Sample_recovery	76.50317063
21	I	1	Sample_recovery	100.00000240
22	I	0	Sample_recovery	100.00000871
23	I	3	Sample_recovery	100.00000287
24	I	3	Sample_recovery	100.00000760
25	I	4	Sample_recovery	100.00000743
26	I	0	Sample_recovery	98.48499219
27	I	1	Sample_recovery	100.00000509
28	I	3	Sample_recovery	94.33150225
29	I	2	Sample_recovery	100.00000148
30	I	2	Sample_recovery	100.00000963
31	I	2	Sample_recovery	96.91689279
32	I	2	Sample_recovery	100.00000073
33	I	0	Sample_recovery	100.00000306
34	I	0	Sample_recovery	80.59422646
35	I	4	Sample_recovery	100.00000220
36	I	1	Sample_recovery	100.00000843
37	I	0	Sample_recovery	77.10702712
38	I	0	Sample_recovery	91.70841321
39	I	1	Sample_recovery	98.17733957
40	I	0	Sample_recovery	100.00000315
41	I	0	Sample_recovery	90.16282493
42	I	0	Sample_recovery	100.00000605
43	I	0	Sample_recovery	100.00000643
44	I	0	Sample_recovery	100.00000926
45	I	4	Sample_recovery	100.00000011
46	I	1	Sample_recovery	91.92721970
47	I	4	Sample_recovery	100.00000653
48	I	2	Sample_recovery	100.00000118
49	I	4	Sample_recovery	100.00000782
50	I	0	Sample_recovery	100.00000105
51	I	4	Sample_recovery	95.71715054
52	I	0	Sample_recovery	63.04060788
53	I	0	Sample_recovery	94.17682668
54	I	0	Sample_recovery	76.91382938
55	I	0	Sample_recovery	62.51282637
56	I	0	Sample_recovery	95.72964192
57	I	0	Sample_recovery	98.15727783
58	I	0	Sample_recovery	91.46740463
59	I	0	Sample_recovery	95.70038849
60	I	1	Sample_recovery	100.00000033
61	I	3	Sample_recovery	100.00000788
62	I	3	Sample_recovery	100.00000438
63	I	3	Sample_recovery	100.00000972
64	I	3	Sample_recovery	100.00000006
65	I	0	Sample_recovery	89.46150989
66	I	1	Sample_recovery	96.20282185
67	I	4	Sample_recovery	100.00000532
68	I	0	Sample_recovery	100.00000470
69	I	2	Sample_recovery	93.71337253
70	I	1	Sample_recovery	100.00000558
71	I	2	Sample_recovery	100.00000601
72	I	0	Sample_recovery	81.90500485
73	I	0	Sample_recovery	99.37567293
74	I	4	Sample_recovery	80.61705754
75	I	0	Sample_recovery	93.46318822
76	I	2	Sample_recovery	100.00000603
77	I	0	Sample_recovery	100.00000707
78	I	0	Sample_recovery	100.00000919
79	I	0	Sample_recovery	100.00000531
80	I	0	Sample_recovery	100.00000917
81	I	0	Sample_recovery	100.00000450
82	I	1	Sample_recovery	96.55832193
83	I	0	Sample_recovery	85.47282632
84	I	0	Sample_recovery	95.07649826
85	I	4	Sample_recovery	100.00000382
86	I	3	Sample_recovery	100.00000110
87	I	3	Sample_recovery	96.95959023
88	I	1	Sample_recovery	100.00000148
89	I	1	Sample_recovery	100.00000898
90	I	2	Sample_recovery	100.00000575
91	I	0	Sample_recovery	100.00000163
92	I	2	Sample_recovery	80.31501213
93	I	0	Sample_recovery	99.73417572
94	I	0	Sample_recovery	100.00000630
95	I	0	Sample_recovery	100.00000102
96	I	4	Sample_recovery	100.00000350
97	I	4	Sample_recovery	100.00000014
98	I	4	Sample_recovery	97.77761547
99	I	0	Sample_recovery	100.00000065
100	I	1	Sample_recovery	100.00000515
101	I	1	Sample_recovery	100.00000929
102	I	2	Sample_recovery	84.57784051
103	I	3	Sample_recovery	91.71162289
104	I	0	Sample_recovery	67.33911840
105	I	4	Sample_recovery	100.00000194
106	I	1	Sample_recovery	100.00000650
107	I	0	Sample_recovery	100.00000376
108	I	4	Sample_recovery	100.00000464
109	I	3	Sample_recovery	100.00000267
110	I	4	Sample_recovery	97.18830652
111	I	0	Sample_recovery	100.00000490
112	I	3	Sample_recovery	100.00000523
113	I	1	Sample_recovery	100.00000094
114	I	0	Sample_recovery	100.00000987
115	I	0	Sample_recovery	84.56483491
116	I	0	Sample_recovery	100.00000682
117	I	0	Sample_recovery	99.28201974
118	I	0	Sample_recovery	100.00000706
119	I	0	Sample_recovery	82.21812607
120	I	0	Sample_recovery	67.90175307
121	I	0	Sample_recovery	100.00000609
122	I	0	Sample_recovery	79.62227671
123	I	0	Sample_recovery	100.00000575
124	I	3	Sample_recovery	100.00000800
125	I	4	Sample_recovery	100.00000076
126	I	2	Sample_recovery	100.00000668
127	I	0	Sample_recovery	100.00000811
128	I	4	Sample_recovery	100.00000426
129	I	0	Sample_recovery	99.72053259
130	I	1	Sample_recovery	100.00000011
131	I	2	Sample_recovery	90.08483193
132	I	0	Sample_recovery	87.13628915
133	I	0	Sample_recovery	88.74836199
134	I	0	Sample_recovery	97.26471105
135	I	2	Sample_recovery	68.61902197
