species	type	location	rxn	time
1	I	1	Sample_recovery	80.50899109
2	I	0	Sample_recovery	39.09321418
3	I	3	Sample_recovery	91.20659065
4	I	0	Sample_recovery	68.35587079
5	I	0	Sample_recovery	100.00000497
6	I	0	Sample_recovery	83.49127681
7	I	0	Sample_recovery	98.59636599
8	I	0	Sample_recovery	93.40072728
9	I	0	Sample_recovery	87.98134463
10	I	0	Sample_recovery	100.00000123
11	I	0	Sample_recovery	91.34326149
12	I	0	Sample_recovery	82.01768638
13	I	0	Sample_recovery	81.83694443
14	I	0	Sample_recovery	87.89437817
15	I	0	Sample_recovery	87.19436385
16	I	0	Sample_recovery	100.00000045
17	I	0	Sample_recovery	71.33201818
18	I	0	Sample_recovery	99.27246039
19	I	0	Sample_recovery	83.23504468
20	I	0	Sample_recovery	52.74895975
21	I	4	Sample_recovery	87.45026695
22	I	0	Sample_recovery	98.84748880
23	I	0	Sample_recovery	94.00014280
24	I	2	Sample_recovery	71.47801738
25	I	0	Sample_recovery	91.74447251
26	I	0	Sample_recovery	86.33763097
27	I	3	Sample_recovery	92.09838737
28	I	0	Sample_recovery	97.90231010
29	I	0	Sample_recovery	86.43355485
30	I	0	Sample_recovery	100.00000920
31	I	1	Sample_recovery	96.88350990
32	I	4	Sample_recovery	100.00000223
33	I	1	Sample_recovery	97.70634810
34	I	1	Sample_recovery	94.57840638
35	I	1	Sample_recovery	90.33204062
36	I	1	Sample_recovery	97.76365317
37	I	2	Sample_recovery	87.98508248
38	I	4	Sample_recovery	97.31624111
39	I	2	Sample_recovery	78.01631776
40	I	0	Sample_recovery	78.22208503
41	I	4	Sample_recovery	85.87247033
42	I	4	Sample_recovery	94.02471683
43	I	2	Sample_recovery	62.11581023
44	I	2	Sample_recovery	71.84799749
45	I	2	Sample_recovery	86.26489896
46	I	2	Sample_recovery	86.16147513
47	I	1	Sample_recovery	39.65481214
48	I	2	Sample_recovery	9.83624023
