species	type	location	rxn	time
1	I	3	Sample_recovery	98.53246545
2	I	0	Sample_recovery	74.76540186
3	I	3	Sample_recovery	70.28121460
4	I	3	Sample_recovery	90.51857719
5	I	3	Sample_recovery	89.41762082
6	I	3	Sample_recovery	91.22290191
7	I	3	Sample_recovery	92.03700038
8	I	3	Sample_recovery	96.11868809
9	I	3	Sample_recovery	81.21380504
10	I	3	Sample_recovery	77.79222219
11	I	3	Sample_recovery	94.44479978
12	I	4	Sample_recovery	100.00000095
13	I	3	Sample_recovery	98.78464819
14	I	3	Sample_recovery	93.04891483
15	I	3	Sample_recovery	75.71269987
16	I	3	Sample_recovery	91.68012308
17	I	3	Sample_recovery	98.73100371
18	I	3	Sample_recovery	96.06333480
19	I	3	Sample_recovery	86.42600197
20	I	3	Sample_recovery	96.80931359
21	I	3	Sample_recovery	91.03208676
22	I	3	Sample_recovery	100.00000190
23	I	3	Sample_recovery	96.78530729
24	I	3	Sample_recovery	88.43588935
25	I	3	Sample_recovery	93.44624491
26	I	3	Sample_recovery	80.41944365
27	I	4	Sample_recovery	87.37724829
28	I	3	Sample_recovery	100.00000848
29	I	3	Sample_recovery	87.05497354
30	I	3	Sample_recovery	75.27734983
31	I	3	Sample_recovery	100.00000910
32	I	3	Sample_recovery	92.00083658
33	I	3	Sample_recovery	90.57279156
34	I	3	Sample_recovery	98.84241260
35	I	3	Sample_recovery	100.00000273
36	I	3	Sample_recovery	99.90155716
37	I	3	Sample_recovery	99.13697322
38	I	3	Sample_recovery	91.83199706
39	I	0	Sample_recovery	100.00000061
40	I	3	Sample_recovery	86.87417478
41	I	3	Sample_recovery	99.10118398
42	I	3	Sample_recovery	75.91939092
43	I	3	Sample_recovery	100.00000150
44	I	3	Sample_recovery	95.18583477
45	I	3	Sample_recovery	90.67919653
46	I	0	Sample_recovery	96.09593128
47	I	3	Sample_recovery	100.00000186
48	I	3	Sample_recovery	99.87099053
49	I	3	Sample_recovery	96.85859874
50	I	3	Sample_recovery	94.03310036
51	I	3	Sample_recovery	85.22906665
52	I	3	Sample_recovery	96.17748181
53	I	3	Sample_recovery	83.63400708
54	I	4	Sample_recovery	95.15746489
55	I	4	Sample_recovery	98.75474815
56	I	4	Sample_recovery	96.08169933
57	I	4	Sample_recovery	100.00000187
58	I	4	Sample_recovery	91.19992124
59	I	0	Sample_recovery	99.54422445
60	I	3	Sample_recovery	97.56111190
61	I	3	Sample_recovery	99.25690293
62	I	3	Sample_recovery	100.00000706
63	I	3	Sample_recovery	95.74791566
64	I	3	Sample_recovery	100.00000827
65	I	3	Sample_recovery	90.64640905
66	I	4	Sample_recovery	95.04716244
67	I	0	Sample_recovery	92.23756025
68	I	3	Sample_recovery	94.85289371
69	I	3	Sample_recovery	88.49427382
70	I	3	Sample_recovery	70.04144158
71	I	3	Sample_recovery	99.70540502
72	I	3	Sample_recovery	69.20800018
73	I	3	Sample_recovery	93.94332659
74	I	3	Sample_recovery	100.00000342
75	I	3	Sample_recovery	95.39256422
76	I	3	Sample_recovery	87.44243558
77	I	3	Sample_recovery	97.71167770
78	I	3	Sample_recovery	89.11987328
79	I	3	Sample_recovery	100.00000558
80	I	3	Sample_recovery	100.00000647
81	I	3	Sample_recovery	100.00000374
82	I	3	Sample_recovery	86.58640723
83	I	3	Sample_recovery	92.95275122
84	I	3	Sample_recovery	95.29929365
85	I	3	Sample_recovery	91.08441091
86	I	3	Sample_recovery	100.00000685
87	I	3	Sample_recovery	95.51201125
88	I	3	Sample_recovery	91.98255665
89	I	3	Sample_recovery	97.72055325
90	I	3	Sample_recovery	99.50863489
91	I	3	Sample_recovery	90.49102899
92	I	3	Sample_recovery	90.31905233
93	I	3	Sample_recovery	61.01265503
94	I	3	Sample_recovery	98.12802420
95	I	3	Sample_recovery	86.34554101
96	I	3	Sample_recovery	100.00000245
97	I	3	Sample_recovery	97.39626804
98	I	3	Sample_recovery	88.05917662
99	I	3	Sample_recovery	97.48536779
100	I	3	Sample_recovery	82.41060404
101	I	3	Sample_recovery	98.12503075
102	I	3	Sample_recovery	92.55532031
103	I	3	Sample_recovery	79.93586647
104	I	3	Sample_recovery	67.80207232
105	I	3	Sample_recovery	99.08575923
106	I	3	Sample_recovery	100.00000868
107	I	3	Sample_recovery	82.23611409
108	I	3	Sample_recovery	100.00000660
109	I	3	Sample_recovery	100.00000640
110	I	3	Sample_recovery	77.84969736
111	I	1	Sample_recovery	99.59179767
112	I	3	Sample_recovery	91.94350572
113	I	3	Sample_recovery	89.39301534
114	I	3	Sample_recovery	93.82260440
115	I	3	Sample_recovery	91.89124876
116	I	3	Sample_recovery	90.53232642
117	I	3	Sample_recovery	93.51736085
118	I	4	Sample_recovery	80.58426576
119	I	3	Sample_recovery	85.60439055
120	I	3	Sample_recovery	94.23302899
121	I	3	Sample_recovery	88.11118645
122	I	3	Sample_recovery	84.53016810
123	I	3	Sample_recovery	100.00000544
124	I	3	Sample_recovery	100.00000395
125	I	3	Sample_recovery	99.58125028
126	I	3	Sample_recovery	97.58087295
127	I	3	Sample_recovery	97.03812651
128	I	3	Sample_recovery	84.48085373
129	I	3	Sample_recovery	97.48993107
130	I	3	Sample_recovery	99.92256717
131	I	3	Sample_recovery	100.00000762
132	I	3	Sample_recovery	88.62684649
133	I	3	Sample_recovery	98.43902399
134	I	3	Sample_recovery	100.00000572
135	I	3	Sample_recovery	94.16818407
136	I	3	Sample_recovery	97.98627390
137	I	3	Sample_recovery	98.37488045
138	I	3	Sample_recovery	99.68227603
139	I	3	Sample_recovery	90.71665910
140	I	3	Sample_recovery	95.49187905
141	I	3	Sample_recovery	95.23610977
142	I	3	Sample_recovery	88.11051736
143	I	3	Sample_recovery	100.00000425
144	I	3	Sample_recovery	95.04381724
145	I	3	Sample_recovery	72.80466144
146	I	3	Sample_recovery	81.48152112
147	I	2	Sample_recovery	99.04924559
148	I	3	Sample_recovery	88.77689194
149	I	3	Sample_recovery	98.90102737
150	I	3	Sample_recovery	95.67460921
151	I	3	Sample_recovery	99.53059435
152	I	3	Sample_recovery	96.20704766
153	I	3	Sample_recovery	88.93509524
154	I	3	Sample_recovery	88.31264346
155	I	3	Sample_recovery	92.97086650
156	I	3	Sample_recovery	91.29460403
157	I	3	Sample_recovery	91.23126341
158	I	3	Sample_recovery	99.98148998
159	I	3	Sample_recovery	100.00000280
160	I	3	Sample_recovery	93.90002623
161	I	3	Sample_recovery	92.17361700
162	I	3	Sample_recovery	99.17616464
163	I	3	Sample_recovery	95.79675197
164	I	1	Sample_recovery	97.54761895
165	I	3	Sample_recovery	95.85855766
166	I	3	Sample_recovery	87.53549052
167	I	3	Sample_recovery	97.62468230
168	I	3	Sample_recovery	100.00000983
169	I	3	Sample_recovery	100.00000817
170	I	3	Sample_recovery	87.35781220
171	I	3	Sample_recovery	100.00000587
172	I	3	Sample_recovery	100.00000174
173	I	3	Sample_recovery	94.22886176
174	I	2	Sample_recovery	96.53502715
175	I	3	Sample_recovery	65.68411490
176	I	3	Sample_recovery	68.70448738
177	I	0	Sample_recovery	100.00000397
178	I	3	Sample_recovery	93.82933986
179	I	3	Sample_recovery	90.91877881
180	I	4	Sample_recovery	94.80812741
181	I	3	Sample_recovery	39.55145840
182	I	2	Sample_recovery	99.65470362
183	I	2	Sample_recovery	74.38892941
184	I	2	Sample_recovery	98.54037573
185	I	2	Sample_recovery	99.64505908
186	I	2	Sample_recovery	97.69264584
187	I	2	Sample_recovery	100.00000031
188	I	2	Sample_recovery	97.23172211
189	I	2	Sample_recovery	79.71683583
190	I	2	Sample_recovery	99.54024276
191	I	2	Sample_recovery	96.35075823
192	I	3	Sample_recovery	90.55173623
193	I	3	Sample_recovery	86.64662513
194	I	0	Sample_recovery	97.45528840
195	I	3	Sample_recovery	62.61512243
196	I	3	Sample_recovery	98.47618061
197	I	2	Sample_recovery	94.02427233
198	I	3	Sample_recovery	96.05697475
199	I	4	Sample_recovery	94.57583912
200	I	3	Sample_recovery	100.00000361
201	I	3	Sample_recovery	100.00000628
202	I	3	Sample_recovery	100.00000332
203	I	3	Sample_recovery	92.52762985
204	I	3	Sample_recovery	91.87783188
205	I	3	Sample_recovery	97.02643189
206	I	3	Sample_recovery	93.43489859
207	I	1	Sample_recovery	95.82703416
208	I	3	Sample_recovery	99.97836125
209	I	3	Sample_recovery	92.73992373
210	I	3	Sample_recovery	98.92061790
211	I	3	Sample_recovery	100.00000386
212	I	3	Sample_recovery	100.00000678
213	I	3	Sample_recovery	100.00000132
214	I	3	Sample_recovery	88.40863374
215	I	3	Sample_recovery	94.05545983
216	I	3	Sample_recovery	89.53729447
217	I	3	Sample_recovery	93.10186434
218	I	3	Sample_recovery	91.32610871
219	I	3	Sample_recovery	93.35217523
220	I	3	Sample_recovery	90.71113950
221	I	3	Sample_recovery	97.46515395
222	I	3	Sample_recovery	99.80474812
223	I	3	Sample_recovery	78.45692674
224	I	3	Sample_recovery	91.80328185
225	I	3	Sample_recovery	70.59936422
226	I	3	Sample_recovery	100.00000752
227	I	3	Sample_recovery	91.90575546
228	I	3	Sample_recovery	97.08611058
229	I	3	Sample_recovery	97.37918451
230	I	3	Sample_recovery	60.97051710
231	I	3	Sample_recovery	98.01044829
232	I	3	Sample_recovery	88.88074945
233	I	3	Sample_recovery	83.16990084
234	I	3	Sample_recovery	100.00000246
235	I	1	Sample_recovery	100.00000804
236	I	3	Sample_recovery	100.00000101
237	I	3	Sample_recovery	99.50347185
238	I	3	Sample_recovery	100.00000075
239	I	3	Sample_recovery	98.18992757
240	I	3	Sample_recovery	96.09482648
241	I	3	Sample_recovery	97.01146334
242	I	3	Sample_recovery	69.28265063
243	I	3	Sample_recovery	100.00000560
244	I	3	Sample_recovery	94.18986564
245	I	3	Sample_recovery	89.39536634
246	I	3	Sample_recovery	88.91988819
247	I	3	Sample_recovery	97.00070752
248	I	3	Sample_recovery	100.00000843
249	I	3	Sample_recovery	57.80360924
250	I	3	Sample_recovery	100.00000607
251	I	3	Sample_recovery	100.00000381
252	I	3	Sample_recovery	93.20591721
253	I	3	Sample_recovery	91.96397781
254	I	3	Sample_recovery	99.93071499
255	I	3	Sample_recovery	95.67869339
256	I	3	Sample_recovery	100.00000427
257	I	3	Sample_recovery	98.23602955
258	I	3	Sample_recovery	83.74416589
259	I	3	Sample_recovery	92.73175450
