species	type	location	rxn	time
1	I	4	Sample_recovery	46.43125912
2	I	4	Sample_recovery	91.36710612
3	I	4	Sample_recovery	80.05822576
4	I	3	Sample_recovery	89.38375490
5	I	3	Sample_recovery	98.11907803
6	I	4	Sample_recovery	83.91957439
7	I	2	Sample_recovery	70.23288673
8	I	3	Sample_recovery	93.06498844
9	I	4	Sample_recovery	97.32222148
10	I	2	Sample_recovery	95.91870201
11	I	0	Sample_recovery	96.86376032
12	I	2	Sample_recovery	78.86287459
13	I	2	Sample_recovery	99.28936109
14	I	4	Sample_recovery	69.59449058
15	I	4	Sample_recovery	96.07893210
16	I	2	Sample_recovery	88.95969295
17	I	2	Sample_recovery	97.60879193
18	I	4	Sample_recovery	81.05632866
19	I	4	Sample_recovery	79.85275070
20	I	4	Sample_recovery	99.42694507
21	I	4	Sample_recovery	77.32277287
22	I	4	Sample_recovery	92.73194804
23	I	3	Sample_recovery	100.00000463
24	I	3	Sample_recovery	97.94272218
25	I	3	Sample_recovery	100.00000220
26	I	3	Sample_recovery	100.00000904
27	I	4	Sample_recovery	97.09497252
28	I	4	Sample_recovery	100.00000952
29	I	4	Sample_recovery	84.32243975
30	I	4	Sample_recovery	92.46334278
31	I	3	Sample_recovery	100.00000202
32	I	4	Sample_recovery	86.53379000
33	I	4	Sample_recovery	51.63147817
34	I	2	Sample_recovery	92.85721590
35	I	4	Sample_recovery	99.80324533
36	I	4	Sample_recovery	74.34216963
37	I	4	Sample_recovery	74.09931860
38	I	4	Sample_recovery	87.32547341
39	I	4	Sample_recovery	76.33680117
40	I	4	Sample_recovery	100.00000144
41	I	2	Sample_recovery	88.72496639
42	I	2	Sample_recovery	98.29411214
43	I	4	Sample_recovery	92.74250854
44	I	2	Sample_recovery	83.54763222
45	I	4	Sample_recovery	93.32324880
46	I	1	Sample_recovery	94.21679031
47	I	4	Sample_recovery	100.00000301
48	I	4	Sample_recovery	62.70758001
49	I	2	Sample_recovery	90.64842621
50	I	2	Sample_recovery	87.94431008
51	I	4	Sample_recovery	89.68492656
52	I	4	Sample_recovery	100.00000936
53	I	4	Sample_recovery	84.68684980
54	I	4	Sample_recovery	92.49295213
55	I	4	Sample_recovery	88.77997136
56	I	4	Sample_recovery	86.93055279
57	I	4	Sample_recovery	50.51957513
58	I	4	Sample_recovery	92.97508798
59	I	1	Sample_recovery	92.68643576
60	I	1	Sample_recovery	90.54844418
61	I	1	Sample_recovery	88.54134659
62	I	0	Sample_recovery	98.67210808
63	I	1	Sample_recovery	76.16610303
64	I	4	Sample_recovery	60.68056022
65	I	4	Sample_recovery	69.83419551
66	I	4	Sample_recovery	95.66138400
67	I	4	Sample_recovery	82.75072819
