file_name	true_minus_lower	true_minus_upper	true_values
pairwise_migration_rate_extant_morethan20_sim219.log	-10.3248045977011	9.48655172413794	0.00435
pairwise_migration_rate_extant_morethan20_sim220.log	-16.5374725274725	5.53222527472527	0.00364
pairwise_migration_rate_extant_morethan20_sim224.log	8.02192307692309	40.4829615384616	0.00052
pairwise_migration_rate_extant_morethan20_sim225.log	18.0015135135135	36.0771891891892	0.00185
pairwise_migration_rate_extant_morethan20_sim226.log	5.59930612244898	18.8782857142857	0.00245
pairwise_migration_rate_extant_morethan20_sim230.log	7.73782857142858	47.147	7e-04
pairwise_migration_rate_extant_morethan20_sim231.log	-5.41823529411766	8.45660633484162	0.00442
pairwise_migration_rate_extant_morethan20_sim234.log	-17.3276	-7.37090909090908	0.00275
pairwise_migration_rate_extant_morethan20_sim235.log	-61.3989375	-20.703375	0.00048
pairwise_migration_rate_extant_morethan20_sim239.log	4.73722100656455	9.33472647702407	0.00457
pairwise_migration_rate_extant_morethan20_sim242.log	10.2533691756272	25.1418996415771	0.00279
pairwise_migration_rate_extant_morethan20_sim247.log	-6.36127118644068	7.06783898305084	0.00236
pairwise_migration_rate_extant_morethan20_sim248.log	-28.0089807162534	-2.24236914600551	0.00363
pairwise_migration_rate_extant_morethan20_sim249.log	11.8367870036101	26.1994223826715	0.00277
pairwise_migration_rate_extant_morethan20_sim254.log	-6.3789238095238	9.83780952380953	0.00105
pairwise_migration_rate_extant_morethan20_sim256.log	-1.40279742765274	26.0457234726688	0.00311
pairwise_migration_rate_extant_morethan20_sim259.log	22.0486285714286	42.744	0.0035
pairwise_migration_rate_extant_morethan20_sim262.log	-6.3795325203252	1.58471544715448	0.00492
pairwise_migration_rate_extant_morethan20_sim268.log	6.83725000000001	38.4912142857143	0.00028
pairwise_migration_rate_extant_morethan20_sim277.log	-17.1183157894737	-4.65185964912281	0.00285
pairwise_migration_rate_extant_morethan20_sim278.log	0.901682539682532	20.4217777777778	0.00315
pairwise_migration_rate_extant_morethan20_sim279.log	-7.68975824175824	2.28052747252748	0.00455
pairwise_migration_rate_extant_morethan20_sim280.log	-33.1027619047619	-3.51269841269841	0.00315
pairwise_migration_rate_extant_morethan20_sim282.log	-59.4702317880795	-34.8450993377483	0.00302
pairwise_migration_rate_extant_morethan20_sim284.log	-10.7425517241379	-1.14344827586206	0.00435
pairwise_migration_rate_extant_morethan20_sim285.log	5.20112	41.80264	0.00125
pairwise_migration_rate_extant_morethan20_sim291.log	2.87990740740741	14.6392592592593	0.00324
pairwise_migration_rate_extant_morethan20_sim298.log	-1.66287234042554	9.79304964539008	0.00282
