file_name	true_minus_lower	true_minus_upper	true_values
delta_param_extant_morethan20_sim239.log	-6.72424908424908	-5.89739926739926	0.00273
delta_param_extant_morethan20_sim242.log	-6.53518367346939	-5.92020408163265	0.0049
delta_param_extant_morethan20_sim247.log	-5.58996884735203	-4.74193146417446	0.00321
delta_param_extant_morethan20_sim248.log	73.4156034482759	77.4793103448276	0.00116
delta_param_extant_morethan20_sim249.log	-14.7513617021277	-14.0019574468085	0.00235
delta_param_extant_morethan20_sim254.log	-1.45422651933701	-0.76665745856354	0.00362
delta_param_extant_morethan20_sim256.log	-19.9937614678899	-18.5857798165138	0.00436
delta_param_extant_morethan20_sim259.log	8.31697459584296	9.34739030023096	0.00433
delta_param_extant_morethan20_sim262.log	17.1432573289902	18.9754397394137	0.00307
delta_param_extant_morethan20_sim268.log	7.59115942028987	8.58307971014493	0.00276
delta_param_extant_morethan20_sim277.log	22.7348767123288	23.5819178082192	0.00365
delta_param_extant_morethan20_sim278.log	-17.566323024055	-16.3134364261168	0.00291
delta_param_extant_morethan20_sim279.log	-3.64228571428571	-2.66407142857142	0.0028
delta_param_extant_morethan20_sim280.log	-30.2462641509434	-28.4376226415094	0.00265
delta_param_extant_morethan20_sim282.log	-57.6295718654434	-56.127125382263	0.00327
delta_param_extant_morethan20_sim284.log	-1.60330900243309	-0.775523114355239	0.00411
delta_param_extant_morethan20_sim285.log	23.6933163265306	25.3961734693878	0.00196
delta_param_extant_morethan20_sim291.log	-3.7716835016835	-2.97531986531986	0.00297
delta_param_extant_morethan20_sim298.log	-4.52036986301369	-3.66291780821918	0.00073
delta_param_extant_morethan20_sim301.log	1.20031884057972	3.71171014492755	0.00069
delta_param_extant_morethan20_sim306.log	5.66388461538463	11.2273846153846	0.00026
delta_param_extant_morethan20_sim312.log	26.8542323651452	30.1543153526971	0.00241
delta_param_extant_morethan20_sim314.log	-6.93567924528301	-3.99222641509434	0.00053
delta_param_extant_morethan20_sim317.log	-8.84935779816513	-5.96920489296635	0.00327
delta_param_extant_morethan20_sim325.log	-15.2839169139466	-14.6287833827893	0.00337
delta_param_extant_morethan20_sim326.log	-6.70051428571429	-5.38461428571428	7e-04
delta_param_extant_morethan20_sim333.log	4.04841870824053	4.72592427616926	0.00449
delta_param_extant_morethan20_sim334.log	-5.14920930232559	-4.15851162790698	0.0043
delta_param_extant_morethan20_sim336.log	-18.4209554140127	-17.6350955414013	0.00157
delta_param_extant_morethan20_sim338.log	2.0719877675841	2.99009174311926	0.00327
delta_param_extant_morethan20_sim339.log	29.7330989583333	30.1978385416667	0.00384
delta_param_extant_morethan20_sim340.log	-2.60618705035971	-1.59884892086332	0.00417
delta_param_extant_morethan20_sim341.log	-6.01420588235293	-3.48364705882352	0.0034
delta_param_extant_morethan20_sim343.log	-22.6593636363636	-20.6687727272727	0.0044
